	sentence1	sentence2	label	heuristics	example1	example2	split
0	The dancer did not burst into the room again.	 The dancer had burst into the room before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
1	The child did not let the blinds down again.	 The child had let the blinds down before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
2	The man did not read the letter again.	 The man had read the letter before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
3	The child did not spread the rumor again.	 The child had spread the rumor before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
4	The professor did not cast bronze into a statue again.	 The professor had cast bronze into a statue before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	test
5	The kid did not upset the boat again.	 The kid had upset the boat before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
6	The child did not set the dish on the table again.	 The child had set the dish on the table before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
7	The doctor did not split the log again.	 The doctor had split the log before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
8	The kid did not slit the envelope again.	 The kid had slit the envelope before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
9	The singer did not shed tears again.	 The singer had shed tears before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
10	The kid did not put the book on the shelf again.	 The kid had put the book on the shelf before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
11	The woman did not let the blinds down again.	 The woman had let the blinds down before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
12	The professor did not upset the boat again.	 The professor had upset the boat before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
13	The doctor did not hurt others again.	 The doctor had hurt others before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
14	The man did not set the dish on the table again.	 The man had set the dish on the table before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
15	The singer did not set the dish on the table again.	 The singer had set the dish on the table before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
16	The stranger did not bet $100 on the race again.	 The stranger had bet $100 on the race before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
17	The doctor did not let the blinds down again.	 The doctor had let the blinds down before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
18	The athlete did not upset the boat again.	 The athlete had upset the boat before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
19	The child did not read the letter again.	 The child had read the letter before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
20	The worker did not cast bronze into a statue again.	 The worker had cast bronze into a statue before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
21	The child did not cast bronze into a statue again.	 The child had cast bronze into a statue before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
22	The boy did not put the book on the shelf again.	 The boy had put the book on the shelf before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
23	The worker did not read the letter again.	 The worker had read the letter before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
24	The man did not set the dish on the table again.	 The man had set the dish on the table before.	entailment	 -	 The doctor did not cut the tree again.	 The doctor had cut the tree before.	train
