	sentence1	sentence2	label	heuristics	example1	example2	split
1000	If the student had remembered reading the letter, the woman would have upset the boat.	 The student read the letter.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1001	If the woman had regretted casting bronze into a statue, the director could have spread the rumor.	 The woman cast bronze into a statue.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1002	If the assistant had remembered shedding tears, the child would have put the book on the shelf.	 The assistant shed tears.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1003	If the child had forgot letting the blinds down, the kid could have bet $100 on the race.	 The child let the blinds down.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1004	If the child had forgot hitting the ball with the bat, the doctor could have read the letter.	 The child hit the ball with the bat.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1005	If the boy had regretted casting bronze into a statue, the singer could have upset the boat.	 The boy cast bronze into a statue.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1006	If the girl had regretted spreading the rumor, the director would have cast bronze into a statue.	 The girl spread the rumor.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1007	If the kid had regretted putting the book on the shelf, the child would have slit the envelope.	 The kid put the book on the shelf.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1008	If the director had forgot shedding tears, the assistant would have set the dish on the table.	 The director shed tears.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1009	If the boy had regretted bursting into the room, the kid could have slit the envelope.	 The boy burst into the room.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1010	If the teacher had regretted letting the blinds down, the worker would have split the log.	 The teacher let the blinds down.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1011	If the worker had remembered bursting into the room, the manager could have hurt others.	 The worker burst into the room.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1012	If the stranger had forgot hitting the ball with the bat, the assistant would have put the book on the shelf.	 The stranger hit the ball with the bat.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1013	If the director had remembered splitting the log, the teacher could have cast bronze into a statue.	 The director split the log.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1014	If the assistant had forgot setting the dish on the table, the singer could have hurt others.	 The assistant set the dish on the table.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1015	If the boy had forgot reading the letter, the athlete could have split the log.	 The boy read the letter.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1016	If the man had remembered bursting into the room, the director would have cast bronze into a statue.	 The man burst into the room.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1017	If the singer had forgot shutting the door, the assistant could have bet $100 on the race.	 The singer shut the door.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1018	If the woman had regretted hitting the ball with the bat, the singer would have read the letter.	 The woman hit the ball with the bat.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1019	If the doctor had regretted setting the dish on the table, the athlete could have split the log.	 The doctor set the dish on the table.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1020	If the singer had regretted putting the book on the shelf, the man could have hurt others.	 The singer put the book on the shelf.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
1021	If the boy had remembered betting $100 on the race, the girl could have let the blinds down.	 The boy bet $100 on the race.	entailment	 -	 The doctor cut the tree.	 The doctor cut the tree.	train
