	sentence1	sentence2	label	heuristics	example1	example2	split
0	Did the child read the letter again?	 The child read the letter again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
1	Did the child shut the door again?	 The child shut the door again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
2	Did the athlete let the blinds down again?	 The athlete let the blinds down again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
3	Did the director hit the ball with the bat again?	 The director hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
4	Did the assistant upset the boat again?	 The assistant upset the boat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
5	Did the athlete hurt others again?	 The athlete hurt others again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
6	Did the director cast bronze into a statue again?	 The director cast bronze into a statue again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
7	Did the student read the letter again?	 The student read the letter again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
8	Did the child spread the rumor again?	 The child spread the rumor again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
9	Did the dancer bet $100 on the race again?	 The dancer bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
10	Did the teacher put the book on the shelf again?	 The teacher put the book on the shelf again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
11	Did the athlete burst into the room again?	 The athlete burst into the room again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
12	Did the man read the letter again?	 The man read the letter again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
13	Did the boy slit the envelope again?	 The boy slit the envelope again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
14	Did the professor split the log again?	 The professor split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
15	Did the man spread the rumor again?	 The man spread the rumor again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
16	Did the man bet $100 on the race again?	 The man bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	test
17	Did the dancer hit the ball with the bat again?	 The dancer hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
