	sentence1	sentence2	label	heuristics	example1	example2	split
0	If the student had hurt others again, the professor could have let the blinds down.	 The student had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
1	If the teacher had hurt others again, the woman could have set the dish on the table.	 The teacher had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
2	If the athlete had thrust the fork into the cake again, the director could have let the blinds down.	 The athlete had thrust the fork into the cake before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
3	If the kid had bet $100 on the race again, the worker would have thrust the fork into the cake.	 The kid had bet $100 on the race before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
4	If the doctor had spread the rumor again, the worker could have slit the envelope.	 The doctor had spread the rumor before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
5	If the boy had burst into the room again, the director could have hit the ball with the bat.	 The boy had burst into the room before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
6	If the athlete had split the log again, the kid would have spread the rumor.	 The athlete had split the log before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
7	If the professor had upset the boat again, the singer would have bet $100 on the race.	 The professor had upset the boat before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
8	If the girl had hit the ball with the bat again, the doctor could have let the blinds down.	 The girl had hit the ball with the bat before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	test
9	If the doctor had shed tears again, the worker could have bet $100 on the race.	 The doctor had shed tears before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
10	If the director had thrust the fork into the cake again, the manager would have bet $100 on the race.	 The director had thrust the fork into the cake before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
11	If the athlete had split the log again, the student could have let the blinds down.	 The athlete had split the log before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
12	If the man had read the letter again, the student could have burst into the room.	 The man had read the letter before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
13	If the stranger had hurt others again, the woman could have spread the rumor.	 The stranger had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
14	If the director had bet $100 on the race again, the professor could have let the blinds down.	 The director had bet $100 on the race before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
15	If the assistant had shed tears again, the boy could have shut the door.	 The assistant had shed tears before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
16	If the teacher had hurt others again, the director could have read the letter.	 The teacher had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
17	If the stranger had shed tears again, the child could have hurt others.	 The stranger had shed tears before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
18	If the assistant had shut the door again, the stranger would have let the blinds down.	 The assistant had shut the door before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
19	If the singer had spread the rumor again, the teacher could have bet $100 on the race.	 The singer had spread the rumor before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
20	If the athlete had read the letter again, the kid could have let the blinds down.	 The athlete had read the letter before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
21	If the kid had upset the boat again, the boy would have shed tears.	 The kid had upset the boat before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
22	If the manager had set the dish on the table again, the athlete could have hit the ball with the bat.	 The manager had set the dish on the table before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
23	If the child had hurt others again, the teacher could have read the letter.	 The child had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
24	If the doctor had hurt others again, the singer could have thrust the fork into the cake.	 The doctor had hurt others before.	entailment	 -	 If the doctor had cut the tree again comma the singer could have spread the rumor.	 The doctor had cut the tree before.	train
