	sentence1	sentence2	label	heuristics	example1	example2	split
0	If the boy had slit the envelope again, the professor would have set the dish on the table.	 If the boy had slit the envelope again, the professor would have set the dish on the table.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
1	If the stranger had spread the rumor again, the woman would have bet $100 on the race.	 If the stranger had spread the rumor again, the woman would have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
2	If the singer had bet $100 on the race again, the worker would have split the log.	 If the singer had bet $100 on the race again, the worker would have split the log.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
3	If the manager had thrust the fork into the cake again, the worker would have read the letter.	 If the manager had thrust the fork into the cake again, the worker would have read the letter.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	test
4	If the manager had let the blinds down again, the dancer would have bet $100 on the race.	 If the manager had let the blinds down again, the dancer would have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
5	If the stranger had slit the envelope again, the man could have shut the door.	 If the stranger had slit the envelope again, the man could have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
6	If the stranger had read the letter again, the girl could have slit the envelope.	 If the stranger had read the letter again, the girl could have slit the envelope.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
7	If the man had cast bronze into a statue again, the student would have set the dish on the table.	 If the man had cast bronze into a statue again, the student would have set the dish on the table.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
8	If the child had bet $100 on the race again, the manager could have set the dish on the table.	 If the child had bet $100 on the race again, the manager could have set the dish on the table.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
9	If the boy had upset the boat again, the teacher would have split the log.	 If the boy had upset the boat again, the teacher would have split the log.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
10	If the woman had cast bronze into a statue again, the boy could have hit the ball with the bat.	 If the woman had cast bronze into a statue again, the boy could have hit the ball with the bat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
11	If the stranger had hurt others again, the director could have bet $100 on the race.	 If the stranger had hurt others again, the director could have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
12	If the manager had let the blinds down again, the director could have hurt others.	 If the manager had let the blinds down again, the director could have hurt others.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
13	If the athlete had split the log again, the dancer would have cast bronze into a statue.	 If the athlete had split the log again, the dancer would have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
14	If the girl had split the log again, the worker could have let the blinds down.	 If the girl had split the log again, the worker could have let the blinds down.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
15	If the woman had split the log again, the assistant could have upset the boat.	 If the woman had split the log again, the assistant could have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
16	If the doctor had put the book on the shelf again, the worker could have burst into the room.	 If the doctor had put the book on the shelf again, the worker could have burst into the room.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
17	If the manager had set the dish on the table again, the boy could have slit the envelope.	 If the manager had set the dish on the table again, the boy could have slit the envelope.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
18	If the manager had read the letter again, the girl would have upset the boat.	 If the manager had read the letter again, the girl would have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
19	If the stranger had split the log again, the woman could have shed tears.	 If the stranger had split the log again, the woman could have shed tears.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
20	If the stranger had let the blinds down again, the assistant would have hit the ball with the bat.	 If the stranger had let the blinds down again, the assistant would have hit the ball with the bat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
21	If the teacher had shed tears again, the student would have upset the boat.	 If the teacher had shed tears again, the student would have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
22	If the teacher had burst into the room again, the kid could have shut the door.	 If the teacher had burst into the room again, the kid could have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
23	If the woman had thrust the fork into the cake again, the boy could have cast bronze into a statue.	 If the woman had thrust the fork into the cake again, the boy could have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
24	If the kid had let the blinds down again, the teacher could have thrust the fork into the cake.	 If the kid had let the blinds down again, the teacher could have thrust the fork into the cake.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
25	If the dancer had set the dish on the table again, the woman could have slit the envelope.	 If the dancer had set the dish on the table again, the woman could have slit the envelope.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
26	If the boy had shed tears again, the girl would have upset the boat.	 If the boy had shed tears again, the girl would have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
27	If the woman had spread the rumor again, the teacher could have let the blinds down.	 If the woman had spread the rumor again, the teacher could have let the blinds down.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
28	If the student had let the blinds down again, the manager would have cast bronze into a statue.	 If the student had let the blinds down again, the manager would have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
29	If the woman had bet $100 on the race again, the stranger would have spread the rumor.	 If the woman had bet $100 on the race again, the stranger would have spread the rumor.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
30	If the student had spread the rumor again, the singer could have hurt others.	 If the student had spread the rumor again, the singer could have hurt others.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
31	If the dancer had cast bronze into a statue again, the director could have shed tears.	 If the dancer had cast bronze into a statue again, the director could have shed tears.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
32	If the assistant had hit the ball with the bat again, the woman could have burst into the room.	 If the assistant had hit the ball with the bat again, the woman could have burst into the room.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
33	If the man had shut the door again, the director could have cast bronze into a statue.	 If the man had shut the door again, the director could have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
34	If the singer had bet $100 on the race again, the stranger could have shut the door.	 If the singer had bet $100 on the race again, the stranger could have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
35	If the girl had split the log again, the kid would have cast bronze into a statue.	 If the girl had split the log again, the kid would have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
36	If the singer had bet $100 on the race again, the boy could have cast bronze into a statue.	 If the singer had bet $100 on the race again, the boy could have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
37	If the teacher had hurt others again, the girl would have shut the door.	 If the teacher had hurt others again, the girl would have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
38	If the teacher had read the letter again, the man could have bet $100 on the race.	 If the teacher had read the letter again, the man could have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
39	If the stranger had thrust the fork into the cake again, the woman could have put the book on the shelf.	 If the stranger had thrust the fork into the cake again, the woman could have put the book on the shelf.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
40	If the worker had spread the rumor again, the assistant could have read the letter.	 If the worker had spread the rumor again, the assistant could have read the letter.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
41	If the professor had upset the boat again, the girl would have let the blinds down.	 If the professor had upset the boat again, the girl would have let the blinds down.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
42	If the woman had split the log again, the worker would have cast bronze into a statue.	 If the woman had split the log again, the worker would have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
43	If the boy had slit the envelope again, the dancer would have read the letter.	 If the boy had slit the envelope again, the dancer would have read the letter.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
44	If the dancer had hit the ball with the bat again, the student would have spread the rumor.	 If the dancer had hit the ball with the bat again, the student would have spread the rumor.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
45	If the manager had split the log again, the woman would have put the book on the shelf.	 If the manager had split the log again, the woman would have put the book on the shelf.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
46	If the student had bet $100 on the race again, the singer could have cast bronze into a statue.	 If the student had bet $100 on the race again, the singer could have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
47	If the assistant had split the log again, the director would have upset the boat.	 If the assistant had split the log again, the director would have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
48	If the doctor had hurt others again, the girl could have spread the rumor.	 If the doctor had hurt others again, the girl could have spread the rumor.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	test
49	If the woman had cast bronze into a statue again, the professor could have hit the ball with the bat.	 If the woman had cast bronze into a statue again, the professor could have hit the ball with the bat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
50	If the man had thrust the fork into the cake again, the boy would have read the letter.	 If the man had thrust the fork into the cake again, the boy would have read the letter.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
51	If the woman had shut the door again, the kid would have hurt others.	 If the woman had shut the door again, the kid would have hurt others.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	test
52	If the manager had burst into the room again, the teacher would have shut the door.	 If the manager had burst into the room again, the teacher would have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
53	If the teacher had read the letter again, the man could have bet $100 on the race.	 If the teacher had read the letter again, the man could have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
54	If the professor had hit the ball with the bat again, the kid could have slit the envelope.	 If the professor had hit the ball with the bat again, the kid could have slit the envelope.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	test
55	If the dancer had shut the door again, the man would have bet $100 on the race.	 If the dancer had shut the door again, the man would have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
56	If the doctor had let the blinds down again, the dancer could have set the dish on the table.	 If the doctor had let the blinds down again, the dancer could have set the dish on the table.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
57	If the doctor had shut the door again, the director would have bet $100 on the race.	 If the doctor had shut the door again, the director would have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
58	If the professor had bet $100 on the race again, the woman could have upset the boat.	 If the professor had bet $100 on the race again, the woman could have upset the boat.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
59	If the boy had burst into the room again, the director could have cast bronze into a statue.	 If the boy had burst into the room again, the director could have cast bronze into a statue.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
60	If the boy had shed tears again, the professor would have shut the door.	 If the boy had shed tears again, the professor would have shut the door.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
61	If the woman had hurt others again, the child could have let the blinds down.	 If the woman had hurt others again, the child could have let the blinds down.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
62	If the manager had shed tears again, the dancer would have read the letter.	 If the manager had shed tears again, the dancer would have read the letter.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
63	If the professor had thrust the fork into the cake again, the doctor would have let the blinds down.	 If the professor had thrust the fork into the cake again, the doctor would have let the blinds down.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
64	If the dancer had let the blinds down again, the worker would have bet $100 on the race.	 If the dancer had let the blinds down again, the worker would have bet $100 on the race.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree.	train
