	sentence1	sentence2	label	heuristics	example1	example2	split
0	The singer burst into the room again.	 The singer burst into the room again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
1	The boy thrust the fork into the cake again.	 The boy thrust the fork into the cake again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
2	The kid cast bronze into a statue again.	 The kid cast bronze into a statue again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
3	The stranger put the book on the shelf again.	 The stranger put the book on the shelf again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
4	The stranger read the letter again.	 The stranger read the letter again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
5	The director shed tears again.	 The director shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
6	The singer thrust the fork into the cake again.	 The singer thrust the fork into the cake again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
7	The child hurt others again.	 The child hurt others again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
8	The doctor split the log again.	 The doctor split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
9	The man split the log again.	 The man split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
10	The woman hurt others again.	 The woman hurt others again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
11	The student hit the ball with the bat again.	 The student hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
12	The doctor cast bronze into a statue again.	 The doctor cast bronze into a statue again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
13	The child spread the rumor again.	 The child spread the rumor again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
14	The worker split the log again.	 The worker split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
15	The director hit the ball with the bat again.	 The director hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
16	The kid split the log again.	 The kid split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
17	The assistant bet $100 on the race again.	 The assistant bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	test
18	The man read the letter again.	 The man read the letter again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
19	The singer hurt others again.	 The singer hurt others again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
20	The worker bet $100 on the race again.	 The worker bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	test
21	The dancer put the book on the shelf again.	 The dancer put the book on the shelf again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
22	The girl slit the envelope again.	 The girl slit the envelope again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
23	The singer put the book on the shelf again.	 The singer put the book on the shelf again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
24	The dancer hit the ball with the bat again.	 The dancer hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
25	The child slit the envelope again.	 The child slit the envelope again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
26	The man burst into the room again.	 The man burst into the room again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
27	The woman burst into the room again.	 The woman burst into the room again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
28	The manager shed tears again.	 The manager shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
29	The child shed tears again.	 The child shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
30	The girl put the book on the shelf again.	 The girl put the book on the shelf again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
31	The doctor let the blinds down again.	 The doctor let the blinds down again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
32	The manager set the dish on the table again.	 The manager set the dish on the table again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
33	The stranger hurt others again.	 The stranger hurt others again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
34	The director shut the door again.	 The director shut the door again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
35	The stranger spread the rumor again.	 The stranger spread the rumor again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
36	The child cast bronze into a statue again.	 The child cast bronze into a statue again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
37	The singer upset the boat again.	 The singer upset the boat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
38	The doctor bet $100 on the race again.	 The doctor bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
39	The professor split the log again.	 The professor split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
40	The manager let the blinds down again.	 The manager let the blinds down again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	test
41	The manager set the dish on the table again.	 The manager set the dish on the table again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	test
42	The manager set the dish on the table again.	 The manager set the dish on the table again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
43	The woman cast bronze into a statue again.	 The woman cast bronze into a statue again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
44	The assistant shut the door again.	 The assistant shut the door again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
45	The athlete shut the door again.	 The athlete shut the door again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
46	The kid hit the ball with the bat again.	 The kid hit the ball with the bat again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
47	The worker bet $100 on the race again.	 The worker bet $100 on the race again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
48	The stranger thrust the fork into the cake again.	 The stranger thrust the fork into the cake again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
49	The worker split the log again.	 The worker split the log again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
50	The assistant shed tears again.	 The assistant shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
51	The child spread the rumor again.	 The child spread the rumor again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
52	The student set the dish on the table again.	 The student set the dish on the table again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
53	The teacher set the dish on the table again.	 The teacher set the dish on the table again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
54	The athlete shed tears again.	 The athlete shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
55	The teacher shed tears again.	 The teacher shed tears again.	entailment	 -	 The doctor cut the tree again.	 The doctor cut the tree again.	train
