	sentence1	sentence2	label	heuristics	example1	example2	split
1000	The assistant did not remember hitting the ball with the bat.	 The assistant hit the ball with the bat.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1001	The assistant did not forget splitting the log.	 The assistant split the log.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1002	The doctor did not forget letting the blinds down.	 The doctor let the blinds down.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1003	The athlete did not forget betting $100 on the race.	 The athlete bet $100 on the race.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1004	The girl did not forget thrusting the fork into the cake.	 The girl thrust the fork into the cake.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1005	The professor did not forget slitting the envelope.	 The professor slit the envelope.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1006	The dancer did not regret setting the dish on the table.	 The dancer set the dish on the table.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1007	The manager did not regret shutting the door.	 The manager shut the door.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1008	The manager did not forget slitting the envelope.	 The manager slit the envelope.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1009	The man did not forget letting the blinds down.	 The man let the blinds down.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1010	The child did not regret casting bronze into a statue.	 The child cast bronze into a statue.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1011	The girl did not forget hitting the ball with the bat.	 The girl hit the ball with the bat.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1012	The director did not forget putting the book on the shelf.	 The director put the book on the shelf.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	train
1013	The student did not regret reading the letter.	 The student read the letter.	entailment	 -	 The doctor did not regret cuttting the tree.	 The doctor cut the tree.	test
