	sentence1	sentence2	label	heuristics	example1	example2	split
800	Did the teacher give up letting the blinds down?	 The teacher had been letting the blinds down.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
801	Did the teacher cease shutting the door?	 The teacher had been shutting the door.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
802	Did the doctor stop betting $100 on the race?	 The doctor had been betting $100 on the race.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
803	Did the dancer keep slitting the envelope?	 The dancer had been slitting the envelope.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
804	Did the woman quit upsetting the boat?	 The woman had been upsetting the boat.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
805	Did the dancer quit hitting the ball with the bat?	 The dancer had been hitting the ball with the bat.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
806	Did the singer give up betting $100 on the race?	 The singer had been betting $100 on the race.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
807	Did the director continue setting the dish on the table?	 The director had been setting the dish on the table.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
808	Did the worker keep hurting others?	 The worker had been hurting others.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
809	Did the athlete stop shedding tears?	 The athlete had been shedding tears.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
810	Did the dancer stop shutting the door?	 The dancer had been shutting the door.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
811	Did the director give up slitting the envelope?	 The director had been slitting the envelope.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
812	Did the professor stop shedding tears?	 The professor had been shedding tears.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
813	Did the professor give up casting bronze into a statue?	 The professor had been casting bronze into a statue.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	test
814	Did the boy stop setting the dish on the table?	 The boy had been setting the dish on the table.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
815	Did the professor cease casting bronze into a statue?	 The professor had been casting bronze into a statue.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
816	Did the director continue spreading the rumor?	 The director had been spreading the rumor.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
817	Did the professor cease casting bronze into a statue?	 The professor had been casting bronze into a statue.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
818	Did the director quit reading the letter?	 The director had been reading the letter.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
819	Did the assistant continue spreading the rumor?	 The assistant had been spreading the rumor.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
820	Did the assistant give up letting the blinds down?	 The assistant had been letting the blinds down.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
821	Did the manager cease hurting others?	 The manager had been hurting others.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
822	Did the student continue shutting the door?	 The student had been shutting the door.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
823	Did the man finish letting the blinds down?	 The man had been letting the blinds down.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
824	Did the doctor continue putting the book on the shelf?	 The doctor had been putting the book on the shelf.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
825	Did the dancer give up upsetting the boat?	 The dancer had been upsetting the boat.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
826	Did the assistant continue hurting others?	 The assistant had been hurting others.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
827	Did the girl finish hitting the ball with the bat?	 The girl had been hitting the ball with the bat.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
828	Did the teacher keep spreading the rumor?	 The teacher had been spreading the rumor.	entailment	 -	 Did the doctor stop cutting the tree.	 The doctor had been cutting the tree.	train
