	sentence1	sentence2	label	heuristics	example1	example2	split
1200	Jenny did not comfort the assistant, who slit the envelope.	 The assistant slit the envelope.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1201	Jim did not deceive the athlete, who put the book on the shelf.	 The athlete put the book on the shelf.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1202	Jim did not find the teacher, who read the letter.	 The teacher read the letter.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1203	Jenny did not find the singer, who spread the rumor.	 The singer spread the rumor.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1204	Steven did not deceive the athlete, who burst into the room.	 The athlete burst into the room.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1205	Kyle did not deceive the director, who upset the boat.	 The director upset the boat.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1206	Tom did not deceive the manager, who split the log.	 The manager split the log.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1207	Kyle did not see the manager, who shut the door.	 The manager shut the door.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1208	Jack did not comfort the kid, who shut the door.	 The kid shut the door.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1209	John did not avoid the woman, who set the dish on the table.	 The woman set the dish on the table.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1210	Jack did not find the worker, who upset the boat.	 The worker upset the boat.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1211	Jim did not avoid the student, who shed tears.	 The student shed tears.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1212	Mary did not find the kid, who set the dish on the table.	 The kid set the dish on the table.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1213	Tom did not see the stranger, who upset the boat.	 The stranger upset the boat.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1214	Katy did not meet the woman, who upset the boat.	 The woman upset the boat.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1215	Jim did not see the singer, who set the dish on the table.	 The singer set the dish on the table.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1216	Tom did not find the athlete, who read the letter.	 The athlete read the letter.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1217	Steven did not love the boy, who burst into the room.	 The boy burst into the room.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1218	Ben did not kick the manager, who split the log.	 The manager split the log.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1219	Tom did not chase the girl, who split the log.	 The girl split the log.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
1220	Jim did not love the stranger, who cast bronze into a statue.	 The stranger cast bronze into a statue.	entailment	 -	 John did not meet the doctor comma who cut the tree.	 The doctor cut the tree.	train
