sentence1,sentence2,label,heuristics,example1,example2,note
If the NP1 had VP1 again comma the NP2 modal have VP3 period, The NP1 had VP1 before period, entailment, -, If the doctor had cut the tree again comma the singer could have spread the rumor., The doctor had cut the tree before., Again
If the NP1 had VP1 again comma the NP2 modal have VP3 period, The NP1 had not VP1 before period, contradiction, -, If the doctor had cut the tree again comma the singer could have spread the rumor., The doctor had not cut the tree before., Again
If the NP1 had VP1 MAdv comma the NP2 modal have VP3 period, The NP1 VP1 period, entailment, -, If the doctor had cut the tree slowly comma the singer could have spread the rumor., The doctor cut the tree., Manner adverbs
If the NP1 had VP1 MAdv comma the NP2 modal have VP3 period, The NP1 did not VP1 period,contradiction, -, If the doctor had cut the tree slowly comma the singer could have spread the rumor., The doctor did cut the tree., Manner adverbs
If the NP1 had VP1 TAdv VPing comma the NP2 modal have VP3 period, The NP1 VP2 period, entailment, -, If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor., The doctor cut the tree., Temporal adverbs
If the NP1 had VP1 TAdv VPing comma the NP2 modal have VP3 period, The NP1 did not VP2 period, contradiction, -, If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor., The doctor did cut the tree., Temporal adverbs
If the NP1 had VP1 Comparative than the NP3 comma the NP2 modal have VP3 period, The NP1 VP1 period, entailment, -, If the doctor had cut the tree better than the artist comma the singer could have spread the rumor., The doctor cut the tree., Comparative
If the NP1 had VP1 Comparative than the NP3 comma the NP2 modal have VP3 period, The NP1 did not VP1 period, contradiction, -, If the doctor had cut the tree better than the artist comma the singer could have spread the rumor., The doctor did not cut the tree, Comparative
If the NP1 had CSV Ving comma the NP2 modal have VP3 period, The NP1 had been Ving period, entailment, -, If the doctor had stopped cutting the tree comma the singer could have spread the rumor., The doctor had been cutting the tree., Change-of-state verbs
If the NP1 had CSV Ving comma the NP2 modal have VP3 period, The NP1 had not been Ving period, contradiction, -, If the doctor had stopped cutting the tree comma the singer could have spread the rumor., The doctor had not been cutting the tree., Change-of-state verbs
If the NP1 had Factive Ving comma the NP2 modal have VP3 period, The NP1 VP1 period, entailment, -, The doctor cut the tree., The doctor cut the tree., Factive verbs
If the NP1 had Factive Ving comma the NP2 modal have VP3 period, The NP1 did not VP1 period, contradiction, -, The doctor cut the tree., The doctor did not cut the tree, Factive verbs
If Name had TrPP the NP1 comma who VP1 comma the NP2 modal have VP3 period, The NP1 VP1 period, entailment, -, The doctor comma who cut the tree comma burst into the room., The doctor cut the tree., Nonrestrictive relative clause
If Name had TrPP the NP1 comma who VP1 comma the NP2 modal have VP3 period, The NP1 did not VP1 period, contradiction, -, The doctor comma who cut the tree comma burst into the room., The doctor cut the tree., Nonrestrictive relative clause
