	sentence1	sentence2	label	heuristics	example1	example2	split
0	The dancer did not bet $100 on the race again.	 The dancer did not bet $100 on the race again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
1	The manager did not shut the door again.	 The manager did not shut the door again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
2	The kid did not slit the envelope again.	 The kid did not slit the envelope again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
3	The kid did not split the log again.	 The kid did not split the log again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
4	The professor did not shed tears again.	 The professor did not shed tears again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
5	The dancer did not hurt others again.	 The dancer did not hurt others again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
6	The singer did not thrust the fork into the cake again.	 The singer did not thrust the fork into the cake again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
7	The man did not spread the rumor again.	 The man did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
8	The child did not set the dish on the table again.	 The child did not set the dish on the table again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
9	The singer did not spread the rumor again.	 The singer did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
10	The girl did not split the log again.	 The girl did not split the log again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
11	The kid did not read the letter again.	 The kid did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
12	The kid did not burst into the room again.	 The kid did not burst into the room again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
13	The student did not hurt others again.	 The student did not hurt others again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	test
14	The student did not put the book on the shelf again.	 The student did not put the book on the shelf again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
15	The boy did not let the blinds down again.	 The boy did not let the blinds down again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
16	The doctor did not cast bronze into a statue again.	 The doctor did not cast bronze into a statue again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
17	The girl did not bet $100 on the race again.	 The girl did not bet $100 on the race again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
18	The director did not shut the door again.	 The director did not shut the door again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
19	The manager did not upset the boat again.	 The manager did not upset the boat again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
20	The worker did not set the dish on the table again.	 The worker did not set the dish on the table again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
21	The athlete did not shed tears again.	 The athlete did not shed tears again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
22	The woman did not hit the ball with the bat again.	 The woman did not hit the ball with the bat again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
23	The stranger did not spread the rumor again.	 The stranger did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
24	The dancer did not spread the rumor again.	 The dancer did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
25	The stranger did not slit the envelope again.	 The stranger did not slit the envelope again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
26	The girl did not bet $100 on the race again.	 The girl did not bet $100 on the race again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
27	The boy did not bet $100 on the race again.	 The boy did not bet $100 on the race again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
28	The stranger did not shut the door again.	 The stranger did not shut the door again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
29	The student did not read the letter again.	 The student did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
30	The man did not put the book on the shelf again.	 The man did not put the book on the shelf again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
31	The doctor did not read the letter again.	 The doctor did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
32	The doctor did not read the letter again.	 The doctor did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
33	The girl did not hurt others again.	 The girl did not hurt others again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
34	The stranger did not read the letter again.	 The stranger did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
35	The manager did not thrust the fork into the cake again.	 The manager did not thrust the fork into the cake again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
36	The kid did not burst into the room again.	 The kid did not burst into the room again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
37	The kid did not put the book on the shelf again.	 The kid did not put the book on the shelf again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
38	The athlete did not thrust the fork into the cake again.	 The athlete did not thrust the fork into the cake again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
39	The child did not let the blinds down again.	 The child did not let the blinds down again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
40	The woman did not hurt others again.	 The woman did not hurt others again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
41	The assistant did not read the letter again.	 The assistant did not read the letter again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
42	The student did not slit the envelope again.	 The student did not slit the envelope again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
43	The dancer did not cast bronze into a statue again.	 The dancer did not cast bronze into a statue again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
44	The athlete did not spread the rumor again.	 The athlete did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
45	The professor did not shut the door again.	 The professor did not shut the door again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
46	The kid did not set the dish on the table again.	 The kid did not set the dish on the table again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
47	The worker did not let the blinds down again.	 The worker did not let the blinds down again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
48	The assistant did not split the log again.	 The assistant did not split the log again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
49	The teacher did not spread the rumor again.	 The teacher did not spread the rumor again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	test
50	The stranger did not hurt others again.	 The stranger did not hurt others again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
51	The woman did not upset the boat again.	 The woman did not upset the boat again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
52	The teacher did not upset the boat again.	 The teacher did not upset the boat again.	entailment	 -	 The doctor did not cut the tree again.	 The doctor cut the tree.	train
