	sentence1	sentence2	label	heuristics	example1	example2	split
1200	Did John beat the singer, who spread the rumor?	 The singer spread the rumor.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	test
1201	Did Bob comfort the girl, who put the book on the shelf?	 The girl put the book on the shelf.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1202	Did Jim chase the manager, who bet $100 on the race?	 The manager bet $100 on the race.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1203	Did Katy deceive the dancer, who read the letter?	 The dancer read the letter.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1204	Did Ben find the athlete, who cast bronze into a statue?	 The athlete cast bronze into a statue.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1205	Did Jenny respect the stranger, who hurt others?	 The stranger hurt others.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1206	Did Jack kick the professor, who put the book on the shelf?	 The professor put the book on the shelf.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1207	Did Kyle respect the professor, who split the log?	 The professor split the log.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1208	Did Steven comfort the teacher, who read the letter?	 The teacher read the letter.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1209	Did Ben chase the girl, who hurt others?	 The girl hurt others.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1210	Did Jack chase the assistant, who shut the door?	 The assistant shut the door.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1211	Did Jim meet the assistant, who bet $100 on the race?	 The assistant bet $100 on the race.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1212	Did John beat the child, who slit the envelope?	 The child slit the envelope.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	train
1213	Did Steven kick the manager, who burst into the room?	 The manager burst into the room.	entailment	 -	 Did John meet the doctor comma who cut the tree?	 The doctor cut the tree.	test
