	sentence1	sentence2	label	heuristics	example1	example2	split
600	Did the man thrust the fork into the cake more seriously than the assistant?	 The man thrust the fork into the cake.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
601	Did the girl burst into the room better than the woman?	 The girl burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
602	Did the man let the blinds down better than the child?	 The man let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
603	Did the stranger burst into the room better than the boy?	 The stranger burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
604	Did the man hit the ball with the bat more seriously than the professor?	 The man hit the ball with the bat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
605	Did the worker read the letter earlier than the woman?	 The worker read the letter.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
606	Did the professor thrust the fork into the cake more seriously than the assistant?	 The professor thrust the fork into the cake.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
607	Did the student spread the rumor more seriously than the boy?	 The student spread the rumor.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
608	Did the director cast bronze into a statue worse than the assistant?	 The director cast bronze into a statue.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
609	Did the doctor read the letter worse than the man?	 The doctor read the letter.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
610	Did the student set the dish on the table more seriously than the assistant?	 The student set the dish on the table.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
611	Did the man thrust the fork into the cake worse than the woman?	 The man thrust the fork into the cake.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
612	Did the man hurt others earlier than the boy?	 The man hurt others.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
613	Did the dancer cast bronze into a statue more seriously than the girl?	 The dancer cast bronze into a statue.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	test
614	Did the director let the blinds down better than the girl?	 The director let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
615	Did the man hit the ball with the bat more seriously than the worker?	 The man hit the ball with the bat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
616	Did the worker burst into the room more seriously than the dancer?	 The worker burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
617	Did the assistant burst into the room more seriously than the teacher?	 The assistant burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
618	Did the teacher shut the door worse than the doctor?	 The teacher shut the door.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
619	Did the child burst into the room earlier than the doctor?	 The child burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
620	Did the man split the log worse than the doctor?	 The man split the log.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
621	Did the kid shed tears better than the boy?	 The kid shed tears.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
622	Did the doctor let the blinds down more seriously than the manager?	 The doctor let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
623	Did the man hurt others more seriously than the doctor?	 The man hurt others.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
624	Did the stranger hit the ball with the bat better than the athlete?	 The stranger hit the ball with the bat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
625	Did the director cast bronze into a statue better than the singer?	 The director cast bronze into a statue.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
626	Did the teacher put the book on the shelf earlier than the woman?	 The teacher put the book on the shelf.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
627	Did the girl bet $100 on the race worse than the doctor?	 The girl bet $100 on the race.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	test
628	Did the assistant hit the ball with the bat worse than the boy?	 The assistant hit the ball with the bat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
629	Did the man cast bronze into a statue worse than the worker?	 The man cast bronze into a statue.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
630	Did the kid burst into the room more seriously than the singer?	 The kid burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
631	Did the assistant cast bronze into a statue earlier than the kid?	 The assistant cast bronze into a statue.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
632	Did the girl let the blinds down worse than the stranger?	 The girl let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
633	Did the worker upset the boat more seriously than the director?	 The worker upset the boat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
634	Did the child burst into the room earlier than the director?	 The child burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
635	Did the worker spread the rumor more seriously than the teacher?	 The worker spread the rumor.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
636	Did the child shed tears more seriously than the professor?	 The child shed tears.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
637	Did the assistant bet $100 on the race earlier than the professor?	 The assistant bet $100 on the race.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
638	Did the doctor set the dish on the table earlier than the assistant?	 The doctor set the dish on the table.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
639	Did the stranger let the blinds down earlier than the boy?	 The stranger let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
640	Did the woman bet $100 on the race more seriously than the singer?	 The woman bet $100 on the race.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
641	Did the manager shed tears earlier than the woman?	 The manager shed tears.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
642	Did the athlete set the dish on the table better than the teacher?	 The athlete set the dish on the table.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
643	Did the manager read the letter worse than the girl?	 The manager read the letter.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
644	Did the girl split the log earlier than the man?	 The girl split the log.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
645	Did the student spread the rumor more seriously than the director?	 The student spread the rumor.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
646	Did the teacher hurt others worse than the stranger?	 The teacher hurt others.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
647	Did the woman put the book on the shelf more seriously than the student?	 The woman put the book on the shelf.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
648	Did the teacher bet $100 on the race worse than the worker?	 The teacher bet $100 on the race.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
649	Did the girl burst into the room worse than the child?	 The girl burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
650	Did the stranger hit the ball with the bat more seriously than the worker?	 The stranger hit the ball with the bat.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
651	Did the worker thrust the fork into the cake more seriously than the girl?	 The worker thrust the fork into the cake.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
652	Did the child spread the rumor worse than the student?	 The child spread the rumor.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
653	Did the man burst into the room earlier than the singer?	 The man burst into the room.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
654	Did the girl thrust the fork into the cake worse than the dancer?	 The girl thrust the fork into the cake.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
655	Did the director let the blinds down more seriously than the athlete?	 The director let the blinds down.	entailment	 -	 Did the doctor cut the tree better than the singer?	 The doctor cut the tree.	train
