sentence1,sentence2,label,heuristics,example1,example2,note
If the NP1 had VP1 again comma the NP2 modal have VP3 period, The NP1 VP1 again period, contradiction, lexical overlap heuristics, The doctor cut the tree again., The doctor cut the tree., Again conditional control
If the NP1 had VP1 again comma the NP2 modal have VP3 period, The NP1 did not VP1 again period, entailment, not, The doctor cut the tree again., The doctor did not cut the tree, Again conditional control 
If the NP1 had VP1 MAdv comma the NP2 modal have VP3 period, The NP1 VP1 MAdv period, contradiction, lexical overlap heuristics, The doctor cut the tree slowly., The doctor cut the tree., Manner adverbs conditional control
If the NP1 had VP1 MAdv comma the NP2 modal have VP3 period, The NP1 did not VP1 MAdv period, entailment, not, The doctor cut the tree slowly., The doctor did cut the tree., Manner adverbs conditional control
If the NP1 had VP1 TAdv VPing comma the NP2 modal have VP3 period, The NP1 VP1 TAdv VPing period, contradiction, lexical overlap heuristics, The doctor burst into the room beofore cutting the tree., The doctor cut the tree., Temporal adverbs conditional control
If the NP1 had VP1 TAdv VPing comma the NP2 modal have VP3 period, The NP1 did not VP1 TAdv VPing period, entailment, not, The doctor burst into the room beofore cutting the tree., The doctor did cut the tree., Temporal adverbs conditional control
If the NP1 had VP1 Comparative than the NP3 comma the NP2 modal have VP3 period, The NP1 VP1 Comparative than the NP3 period, contradiction, lexical overlap heuristics, The doctor cut the tree better than the singer., The doctor cut the tree., Comparative conditional control
If the NP1 had VP1 Comparative than the NP3 comma the NP2 modal have VP3 period, The NP1 did not VP1 Comparative than the NP3 period, entailment, not, The doctor cut the tree better than the singer., The doctor did not cut the tree, Comparative conditional control
If the NP1 had CSV Ving comma the NP2 modal have VP3 period, The NP1 CSV Ving period, contradiction, lexical overlap heuristics, The doctor cut the tree., The doctor cut the tree., Changenotofnotstate verbs conditional control 
If the NP1 had CSV Ving comma the NP2 modal have VP3 period, The NP1 did not Pre Ving period, entailment, not, The doctor cut the tree., The doctor did not cut the tree, Changenotofnotstate verbs conditional control
If the NP1 had Factive Ving comma the NP2 modal have VP3 period, The NP1 Factive Ving period, contradiction, lexical overlap heuristics, The doctor cut the tree., The doctor cut the tree., Factive verbs conditional control
If the NP1 had Factive Ving comma the NP2 modal have VP3 period, The NP1 did not FP Ving period, entailment, not, The doctor cut the tree., The doctor did not cut the tree., Factive verbs
