	sentence1	sentence2	label	heuristics	example1	example2	split
600	The professor did not shed tears more seriously than the athlete.	 The professor shed tears.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
601	The worker did not thrust the fork into the cake better than the girl.	 The worker thrust the fork into the cake.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
602	The woman did not spread the rumor better than the athlete.	 The woman spread the rumor.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
603	The singer did not slit the envelope better than the manager.	 The singer slit the envelope.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
604	The girl did not burst into the room better than the professor.	 The girl burst into the room.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
605	The athlete did not thrust the fork into the cake worse than the man.	 The athlete thrust the fork into the cake.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
606	The kid did not shut the door more seriously than the girl.	 The kid shut the door.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
607	The woman did not shed tears earlier than the manager.	 The woman shed tears.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
608	The dancer did not hit the ball with the bat earlier than the girl.	 The dancer hit the ball with the bat.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
609	The teacher did not read the letter better than the director.	 The teacher read the letter.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
610	The professor did not upset the boat worse than the woman.	 The professor upset the boat.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
611	The child did not hit the ball with the bat better than the kid.	 The child hit the ball with the bat.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
612	The dancer did not bet $100 on the race earlier than the doctor.	 The dancer bet $100 on the race.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
613	The student did not put the book on the shelf better than the athlete.	 The student put the book on the shelf.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
614	The athlete did not burst into the room better than the boy.	 The athlete burst into the room.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	test
615	The manager did not hurt others worse than the singer.	 The manager hurt others.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
616	The boy did not bet $100 on the race worse than the woman.	 The boy bet $100 on the race.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
617	The child did not hurt others more seriously than the dancer.	 The child hurt others.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
618	The kid did not burst into the room worse than the assistant.	 The kid burst into the room.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
619	The dancer did not let the blinds down earlier than the teacher.	 The dancer let the blinds down.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
620	The athlete did not set the dish on the table worse than the manager.	 The athlete set the dish on the table.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
621	The kid did not set the dish on the table worse than the boy.	 The kid set the dish on the table.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
622	The stranger did not cast bronze into a statue more seriously than the assistant.	 The stranger cast bronze into a statue.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
623	The teacher did not shed tears better than the boy.	 The teacher shed tears.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
624	The student did not slit the envelope better than the director.	 The student slit the envelope.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
625	The student did not put the book on the shelf more seriously than the boy.	 The student put the book on the shelf.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
626	The worker did not set the dish on the table worse than the girl.	 The worker set the dish on the table.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	test
627	The boy did not set the dish on the table earlier than the stranger.	 The boy set the dish on the table.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
628	The woman did not bet $100 on the race earlier than the student.	 The woman bet $100 on the race.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
629	The student did not upset the boat earlier than the athlete.	 The student upset the boat.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
630	The assistant did not hurt others more seriously than the athlete.	 The assistant hurt others.	entailment	 -	 The doctor did not cut the tree better than the singer.	 The doctor cut the tree.	train
