	sentence1	sentence2	label	heuristics	example1	example2	split
1200	Jason found the student, who shut the door.	 The student shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1201	Kyle respected the singer, who thrust the fork into the cake.	 The singer thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1202	Kyle loved the doctor, who cast bronze into a statue.	 The doctor cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1203	Kyle deceived the manager, who hit the ball with the bat.	 The manager hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1204	Kyle chased the professor, who split the log.	 The professor split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1205	Kyle beat the man, who split the log.	 The man split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1206	Katy respected the doctor, who split the log.	 The doctor split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1207	Jim kicked the child, who hurt others.	 The child hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1208	Katy loved the student, who shed tears.	 The student shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1209	Ben saw the doctor, who shed tears.	 The doctor shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1210	Jenny found the stranger, who put the book on the shelf.	 The stranger put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1211	Tom met the director, who shed tears.	 The director shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1212	Steven found the athlete, who hurt others.	 The athlete hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1213	Jenny deceived the manager, who thrust the fork into the cake.	 The manager thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1214	Jim kicked the child, who thrust the fork into the cake.	 The child thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1215	John comforted the teacher, who put the book on the shelf.	 The teacher put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1216	Steven saw the dancer, who thrust the fork into the cake.	 The dancer thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1217	Jack saw the professor, who let the blinds down.	 The professor let the blinds down.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1218	Bob chased the director, who hit the ball with the bat.	 The director hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1219	Steven chased the singer, who read the letter.	 The singer read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1220	Jack avoided the singer, who slit the envelope.	 The singer slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1221	Ben kicked the doctor, who spread the rumor.	 The doctor spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1222	Kyle kicked the boy, who shut the door.	 The boy shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1223	Jason avoided the girl, who split the log.	 The girl split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1224	Jack avoided the child, who cast bronze into a statue.	 The child cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1225	Katy kicked the singer, who shut the door.	 The singer shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1226	Bob kicked the dancer, who spread the rumor.	 The dancer spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1227	Mary loved the director, who spread the rumor.	 The director spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1228	Mary avoided the worker, who thrust the fork into the cake.	 The worker thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1229	Steven saw the teacher, who read the letter.	 The teacher read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1230	Mary loved the dancer, who upset the boat.	 The dancer upset the boat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1231	Steven loved the boy, who set the dish on the table.	 The boy set the dish on the table.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1232	John chased the athlete, who hit the ball with the bat.	 The athlete hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1233	Katy found the director, who spread the rumor.	 The director spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1234	Tom deceived the girl, who slit the envelope.	 The girl slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1235	Tom beat the athlete, who spread the rumor.	 The athlete spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1236	Mary beat the girl, who shed tears.	 The girl shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1237	Steven beat the professor, who hit the ball with the bat.	 The professor hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1238	Mary avoided the girl, who shut the door.	 The girl shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1239	Tom kicked the man, who burst into the room.	 The man burst into the room.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1240	Kyle respected the professor, who bet $100 on the race.	 The professor bet $100 on the race.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1241	Kyle found the manager, who shut the door.	 The manager shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1242	Katy beat the doctor, who shed tears.	 The doctor shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1243	Bob beat the student, who shut the door.	 The student shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1244	Bob kicked the student, who hit the ball with the bat.	 The student hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1245	Jack found the manager, who put the book on the shelf.	 The manager put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1246	Katy found the woman, who hurt others.	 The woman hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1247	Tom met the doctor, who split the log.	 The doctor split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
