	sentence1	sentence2	label	heuristics	example1	example2	split
200	If the woman had shed tears calmly, the child could have hurt others.	 The woman shed tears.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
201	If the doctor had set the dish on the table anxiously, the athlete could have let the blinds down.	 The doctor set the dish on the table.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
202	If the singer had spread the rumor quickly, the worker could have hit the ball with the bat.	 The singer spread the rumor.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
203	If the teacher had shed tears easily, the worker would have upset the boat.	 The teacher shed tears.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
204	If the doctor had spread the rumor easily, the worker could have read the letter.	 The doctor spread the rumor.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
205	If the girl had cast bronze into a statue quickly, the teacher would have let the blinds down.	 The girl cast bronze into a statue.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
206	If the man had hit the ball with the bat happily, the assistant would have set the dish on the table.	 The man hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
207	If the girl had bet $100 on the race slowly, the woman could have upset the boat.	 The girl bet $100 on the race.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
208	If the worker had upset the boat calmly, the boy could have spread the rumor.	 The worker upset the boat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
209	If the manager had put the book on the shelf anxiously, the dancer could have cast bronze into a statue.	 The manager put the book on the shelf.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
210	If the kid had slit the envelope slowly, the singer could have shut the door.	 The kid slit the envelope.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
211	If the man had cast bronze into a statue slowly, the doctor would have read the letter.	 The man cast bronze into a statue.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
212	If the girl had burst into the room anxiously, the athlete would have upset the boat.	 The girl burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
213	If the doctor had split the log happily, the professor would have hurt others.	 The doctor split the log.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
214	If the worker had read the letter sadly, the girl could have hurt others.	 The worker read the letter.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
215	If the girl had upset the boat happily, the worker would have read the letter.	 The girl upset the boat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
216	If the dancer had burst into the room happily, the manager would have shut the door.	 The dancer burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
217	If the stranger had spread the rumor calmly, the dancer could have burst into the room.	 The stranger spread the rumor.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
218	If the boy had shut the door quietly, the director could have thrust the fork into the cake.	 The boy shut the door.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
219	If the singer had shut the door easily, the boy would have put the book on the shelf.	 The singer shut the door.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
220	If the dancer had burst into the room happily, the assistant could have let the blinds down.	 The dancer burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
221	If the man had put the book on the shelf anxiously, the dancer could have thrust the fork into the cake.	 The man put the book on the shelf.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
222	If the child had shed tears calmly, the boy would have put the book on the shelf.	 The child shed tears.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
223	If the director had spread the rumor easily, the professor would have shed tears.	 The director spread the rumor.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
224	If the dancer had upset the boat calmly, the stranger could have cast bronze into a statue.	 The dancer upset the boat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
225	If the professor had slit the envelope quickly, the student could have spread the rumor.	 The professor slit the envelope.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
226	If the boy had burst into the room easily, the stranger would have set the dish on the table.	 The boy burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	test
227	If the boy had let the blinds down angrily, the assistant would have shut the door.	 The boy let the blinds down.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
228	If the girl had hurt others quietly, the director could have thrust the fork into the cake.	 The girl hurt others.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
229	If the teacher had upset the boat angrily, the student would have spread the rumor.	 The teacher upset the boat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
230	If the assistant had spread the rumor anxiously, the doctor could have bet $100 on the race.	 The assistant spread the rumor.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
231	If the stranger had hit the ball with the bat anxiously, the athlete would have let the blinds down.	 The stranger hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
232	If the dancer had thrust the fork into the cake calmly, the child could have burst into the room.	 The dancer thrust the fork into the cake.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	test
233	If the kid had cast bronze into a statue anxiously, the boy could have read the letter.	 The kid cast bronze into a statue.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
234	If the director had bet $100 on the race anxiously, the man would have hit the ball with the bat.	 The director bet $100 on the race.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	test
235	If the doctor had upset the boat easily, the girl would have split the log.	 The doctor upset the boat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
236	If the doctor had read the letter calmly, the woman could have put the book on the shelf.	 The doctor read the letter.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
237	If the teacher had set the dish on the table angrily, the doctor would have spread the rumor.	 The teacher set the dish on the table.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
238	If the doctor had burst into the room happily, the singer could have slit the envelope.	 The doctor burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
239	If the woman had hit the ball with the bat easily, the manager would have shed tears.	 The woman hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
240	If the girl had shut the door calmly, the stranger could have spread the rumor.	 The girl shut the door.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
241	If the dancer had hit the ball with the bat slowly, the director would have put the book on the shelf.	 The dancer hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
242	If the athlete had put the book on the shelf anxiously, the boy would have hurt others.	 The athlete put the book on the shelf.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
243	If the teacher had thrust the fork into the cake anxiously, the assistant would have burst into the room.	 The teacher thrust the fork into the cake.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	test
244	If the worker had slit the envelope sadly, the professor would have split the log.	 The worker slit the envelope.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
245	If the dancer had bet $100 on the race quickly, the doctor would have upset the boat.	 The dancer bet $100 on the race.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
246	If the dancer had burst into the room angrily, the singer would have thrust the fork into the cake.	 The dancer burst into the room.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
247	If the assistant had put the book on the shelf calmly, the manager would have shed tears.	 The assistant put the book on the shelf.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
248	If the doctor had hit the ball with the bat calmly, the kid would have thrust the fork into the cake.	 The doctor hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree slowly comma the singer could have spread the rumor.	 The doctor cut the tree.	train
