	sentence1	sentence2	label	heuristics	example1	example2	split
400	The manager split the log before thrusting the fork into the cake.	 The manager thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
401	The doctor cast bronze into a statue before setting the dish on the table.	 The doctor set the dish on the table.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
402	The manager let the blinds down when shutting the door.	 The manager shut the door.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
403	The teacher burst into the room when upsetting the boat.	 The teacher upset the boat.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
404	The student burst into the room after splitting the log.	 The student split the log.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
405	The boy spread the rumor when bursting into the room.	 The boy burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
406	The woman shed tears after bursting into the room.	 The woman burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
407	The man hit the ball with the bat before setting the dish on the table.	 The man set the dish on the table.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
408	The dancer hurt others while bursting into the room.	 The dancer burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
409	The child set the dish on the table while thrusting the fork into the cake.	 The child thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
410	The assistant thrust the fork into the cake while hitting the ball with the bat.	 The assistant hit the ball with the bat.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
411	The worker put the book on the shelf before shutting the door.	 The worker shut the door.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
412	The man hurt others before hitting the ball with the bat.	 The man hit the ball with the bat.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
413	The child let the blinds down before spreading the rumor.	 The child spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
414	The doctor read the letter while setting the dish on the table.	 The doctor set the dish on the table.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
415	The teacher bet $100 on the race before spreading the rumor.	 The teacher spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
416	The athlete hit the ball with the bat before spreading the rumor.	 The athlete spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
417	The stranger bet $100 on the race after thrusting the fork into the cake.	 The stranger thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
418	The child set the dish on the table when spreading the rumor.	 The child spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
419	The dancer read the letter while shedding tears.	 The dancer shed tears.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
420	The teacher let the blinds down when hurting others.	 The teacher hurt others.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
421	The manager slit the envelope while hurting others.	 The manager hurt others.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
422	The professor put the book on the shelf while casting bronze into a statue.	 The professor cast bronze into a statue.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
423	The boy split the log before spreading the rumor.	 The boy spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
424	The child thrust the fork into the cake when bursting into the room.	 The child burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
425	The singer set the dish on the table after spreading the rumor.	 The singer spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
426	The teacher cast bronze into a statue after slitting the envelope.	 The teacher slit the envelope.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
427	The student spread the rumor before splitting the log.	 The student split the log.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
428	The boy upset the boat after spreading the rumor.	 The boy spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	test
429	The girl set the dish on the table after hurting others.	 The girl hurt others.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
430	The student shed tears before spreading the rumor.	 The student spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
431	The man split the log when casting bronze into a statue.	 The man cast bronze into a statue.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
432	The professor thrust the fork into the cake after bursting into the room.	 The professor burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	test
433	The man split the log when reading the letter.	 The man read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
434	The boy burst into the room when slitting the envelope.	 The boy slit the envelope.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
435	The man let the blinds down when slitting the envelope.	 The man slit the envelope.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
436	The kid slit the envelope before spreading the rumor.	 The kid spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
437	The athlete let the blinds down when reading the letter.	 The athlete read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
438	The director split the log before hitting the ball with the bat.	 The director hit the ball with the bat.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
439	The child bet $100 on the race before bursting into the room.	 The child burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
440	The assistant split the log before shedding tears.	 The assistant shed tears.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
441	The singer split the log when betting $100 on the race.	 The singer bet $100 on the race.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
442	The student bet $100 on the race when shedding tears.	 The student shed tears.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
443	The assistant set the dish on the table before reading the letter.	 The assistant read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
444	The boy shed tears after bursting into the room.	 The boy burst into the room.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
445	The athlete let the blinds down after thrusting the fork into the cake.	 The athlete thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
446	The student slit the envelope while reading the letter.	 The student read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
447	The dancer shut the door after thrusting the fork into the cake.	 The dancer thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
448	The manager burst into the room after thrusting the fork into the cake.	 The manager thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
449	The manager bet $100 on the race before hitting the ball with the bat.	 The manager hit the ball with the bat.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
450	The teacher upset the boat after casting bronze into a statue.	 The teacher cast bronze into a statue.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
451	The girl bet $100 on the race before shedding tears.	 The girl shed tears.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
452	The athlete put the book on the shelf while betting $100 on the race.	 The athlete bet $100 on the race.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
453	The professor shut the door after hurting others.	 The professor hurt others.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
454	The student bet $100 on the race before spreading the rumor.	 The student spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
455	The doctor thrust the fork into the cake after shutting the door.	 The doctor shut the door.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
456	The worker put the book on the shelf when thrusting the fork into the cake.	 The worker thrust the fork into the cake.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
457	The child burst into the room before betting $100 on the race.	 The child bet $100 on the race.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
458	The singer bet $100 on the race before putting the book on the shelf.	 The singer put the book on the shelf.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
459	The child bet $100 on the race after letting the blinds down.	 The child let the blinds down.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
460	The child split the log when reading the letter.	 The child read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
461	The kid cast bronze into a statue when shedding tears.	 The kid shed tears.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
462	The stranger burst into the room after letting the blinds down.	 The stranger let the blinds down.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	test
463	The child slit the envelope after reading the letter.	 The child read the letter.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
464	The man hurt others before spreading the rumor.	 The man spread the rumor.	entailment	 -	 The doctor burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
