	sentence1	sentence2	label	heuristics	example1	example2	split
800	If the student had kept reading the letter, the manager could have shed tears.	 The student had been reading the letter.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
801	If the worker had finished hitting the ball with the bat, the manager would have upset the boat.	 The worker had been hitting the ball with the bat.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
802	If the girl had ceased letting the blinds down, the dancer would have upset the boat.	 The girl had been letting the blinds down.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
803	If the doctor had kept setting the dish on the table, the professor could have spread the rumor.	 The doctor had been setting the dish on the table.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
804	If the teacher had continued shedding tears, the assistant could have read the letter.	 The teacher had been shedding tears.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
805	If the stranger had continued bursting into the room, the assistant would have spread the rumor.	 The stranger had been bursting into the room.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
806	If the kid had kept upsetting the boat, the teacher could have spread the rumor.	 The kid had been upsetting the boat.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
807	If the athlete had ceased betting $100 on the race, the professor could have burst into the room.	 The athlete had been betting $100 on the race.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
808	If the dancer had stopped betting $100 on the race, the child could have thrust the fork into the cake.	 The dancer had been betting $100 on the race.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
809	If the student had ceased casting bronze into a statue, the teacher would have set the dish on the table.	 The student had been casting bronze into a statue.	entailment	 -	 If the doctor had stopped cutting the tree comma the singer could have spread the rumor.	 The doctor had been cutting the tree.	train
