	sentence1	sentence2	label	heuristics	example1	example2	split
1000	Did the teacher forget hurting others?	 The teacher hurt others.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1001	Did the assistant remember putting the book on the shelf?	 The assistant put the book on the shelf.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1002	Did the athlete forget setting the dish on the table?	 The athlete set the dish on the table.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1003	Did the assistant remember bursting into the room?	 The assistant burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1004	Did the singer remember putting the book on the shelf?	 The singer put the book on the shelf.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1005	Did the kid forget letting the blinds down?	 The kid let the blinds down.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1006	Did the woman remember thrusting the fork into the cake?	 The woman thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1007	Did the stranger remember slitting the envelope?	 The stranger slit the envelope.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1008	Did the worker regret casting bronze into a statue?	 The worker cast bronze into a statue.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1009	Did the singer regret bursting into the room?	 The singer burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1010	Did the boy regret slitting the envelope?	 The boy slit the envelope.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1011	Did the doctor remember thrusting the fork into the cake?	 The doctor thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1012	Did the kid forget setting the dish on the table?	 The kid set the dish on the table.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1013	Did the dancer remember shutting the door?	 The dancer shut the door.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1014	Did the singer forget slitting the envelope?	 The singer slit the envelope.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1015	Did the athlete forget hurting others?	 The athlete hurt others.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1016	Did the assistant remember shedding tears?	 The assistant shed tears.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1017	Did the manager remember hurting others?	 The manager hurt others.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1018	Did the stranger regret reading the letter?	 The stranger read the letter.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1019	Did the director forget bursting into the room?	 The director burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1020	Did the doctor regret letting the blinds down?	 The doctor let the blinds down.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1021	Did the student regret bursting into the room?	 The student burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1022	Did the boy remember slitting the envelope?	 The boy slit the envelope.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1023	Did the manager regret spreading the rumor?	 The manager spread the rumor.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1024	Did the man regret putting the book on the shelf?	 The man put the book on the shelf.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1025	Did the assistant remember hitting the ball with the bat?	 The assistant hit the ball with the bat.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1026	Did the worker regret upsetting the boat?	 The worker upset the boat.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1027	Did the man regret shutting the door?	 The man shut the door.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1028	Did the girl regret spreading the rumor?	 The girl spread the rumor.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1029	Did the assistant regret casting bronze into a statue?	 The assistant cast bronze into a statue.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1030	Did the manager regret slitting the envelope?	 The manager slit the envelope.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	test
1031	Did the teacher forget spreading the rumor?	 The teacher spread the rumor.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1032	Did the athlete regret casting bronze into a statue?	 The athlete cast bronze into a statue.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1033	Did the student remember betting $100 on the race?	 The student bet $100 on the race.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1034	Did the assistant forget setting the dish on the table?	 The assistant set the dish on the table.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	test
1035	Did the dancer forget bursting into the room?	 The dancer burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1036	Did the man remember bursting into the room?	 The man burst into the room.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1037	Did the student forget thrusting the fork into the cake?	 The student thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1038	Did the student remember reading the letter?	 The student read the letter.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1039	Did the dancer regret thrusting the fork into the cake?	 The dancer thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1040	Did the boy forget hurting others?	 The boy hurt others.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1041	Did the athlete remember putting the book on the shelf?	 The athlete put the book on the shelf.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1042	Did the worker forget thrusting the fork into the cake?	 The worker thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1043	Did the boy remember betting $100 on the race?	 The boy bet $100 on the race.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1044	Did the assistant remember hitting the ball with the bat?	 The assistant hit the ball with the bat.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1045	Did the boy regret casting bronze into a statue?	 The boy cast bronze into a statue.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1046	Did the doctor forget casting bronze into a statue?	 The doctor cast bronze into a statue.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1047	Did the girl forget setting the dish on the table?	 The girl set the dish on the table.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1048	Did the man forget betting $100 on the race?	 The man bet $100 on the race.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1049	Did the teacher forget thrusting the fork into the cake?	 The teacher thrust the fork into the cake.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1050	Did the doctor forget reading the letter?	 The doctor read the letter.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1051	Did the boy forget shutting the door?	 The boy shut the door.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1052	Did the athlete forget shutting the door?	 The athlete shut the door.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	test
1053	Did the stranger forget spreading the rumor?	 The stranger spread the rumor.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1054	Did the singer remember letting the blinds down?	 The singer let the blinds down.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1055	Did the stranger forget shutting the door?	 The stranger shut the door.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
1056	Did the assistant regret splitting the log?	 The assistant split the log.	entailment	 -	 Did the doctor regret cutting the tree?	 The doctor cut the tree.	train
