	sentence1	sentence2	label	heuristics	example1	example2	split
400	If the woman had slit the envelope before putting the book on the shelf, the director would have set the dish on the table.	 The woman put the book on the shelf.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
401	If the director had let the blinds down after setting the dish on the table, the manager would have split the log.	 The director set the dish on the table.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	test
402	If the student had hit the ball with the bat after setting the dish on the table, the kid would have spread the rumor.	 The student set the dish on the table.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
403	If the girl had hurt others when spreading the rumor, the boy could have bet $100 on the race.	 The girl spread the rumor.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
404	If the kid had hurt others after upsetting the boat, the student would have let the blinds down.	 The kid upset the boat.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
405	If the dancer had upset the boat before setting the dish on the table, the director would have split the log.	 The dancer set the dish on the table.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
406	If the stranger had split the log after betting $100 on the race, the child could have spread the rumor.	 The stranger bet $100 on the race.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
407	If the boy had bet $100 on the race when hurting others, the director could have read the letter.	 The boy hurt others.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
408	If the man had let the blinds down when betting $100 on the race, the manager would have cast bronze into a statue.	 The man bet $100 on the race.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
409	If the woman had shut the door after reading the letter, the assistant could have split the log.	 The woman read the letter.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
410	If the kid had hit the ball with the bat after spreading the rumor, the singer would have shut the door.	 The kid spread the rumor.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
411	If the student had bet $100 on the race before shedding tears, the teacher could have hit the ball with the bat.	 The student shed tears.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
412	If the child had read the letter before shedding tears, the boy would have split the log.	 The child shed tears.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
413	If the man had put the book on the shelf when betting $100 on the race, the director would have hurt others.	 The man bet $100 on the race.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
414	If the woman had shut the door when setting the dish on the table, the athlete would have slit the envelope.	 The woman set the dish on the table.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
415	If the student had bet $100 on the race after putting the book on the shelf, the assistant could have slit the envelope.	 The student put the book on the shelf.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
416	If the boy had upset the boat before putting the book on the shelf, the kid would have hurt others.	 The boy put the book on the shelf.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
417	If the dancer had bet $100 on the race after reading the letter, the student would have set the dish on the table.	 The dancer read the letter.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
418	If the assistant had burst into the room after reading the letter, the stranger would have slit the envelope.	 The assistant read the letter.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
419	If the student had shed tears after reading the letter, the director could have bet $100 on the race.	 The student read the letter.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
420	If the woman had cast bronze into a statue after upsetting the boat, the student could have let the blinds down.	 The woman upset the boat.	entailment	 -	 If the doctor burst into the room beofore cutting the tree comma the singer could have spread the rumor.	 The doctor cut the tree.	train
