sentence1,sentence2,label,heuristics,example1,example2,note
Did the NP1 VP1 again ?, The NP1 had VP1 before period, entailment, -, Did the doctor cut the tree again?, The doctor cut the tree before., Again
Did the NP1 VP1 again ?, The NP1 had not VP1 before period, contradiction, -, Did the doctor cut the tree again?, The doctor had not cut the tree before., Again
Did the NP1 VP1 MAdv ?, The NP1 VP1 period, entailment, -, Did the doctor cut the tree slowly?, The doctor cut the tree., Manner adverbs
Did the NP1 VP1 MAdv ?, The NP1 did not VP1 period, contradiction, -, Did the doctor cut the tree slowly?, The doctor did not cut the tree., Manner adverbs
Did the NP1 VP1 TAdv VPing ?, The NP1 VP2 period, entailment, -, Did the doctor burst into the room beofore cutting the tree?, The doctor cut the tree., Temporal adverbs
Did the NP1 VP1 TAdv VPing ?, The NP1 did not VP2 period, contradiction, -, Did the doctor burst into the room beofore cutting the tree?, The doctor did not cut the tree., Temporal adverbs
Did the NP1 VP1 Comparative than the NP2 ?, The NP1 VP1 period, entailment, -, Did the doctor cut the tree better than the singer?, The doctor cut the tree., Comparative
Did the NP1 VP1 Comparative than the NP2 ?, The NP1 did not VP1 period, contradiction, -, Did the doctor cut the tree better than the singer?, The doctor did not cut the tree, Comparative
Did the NP1 Pre Ving ?, The NP1 had been Ving period, entailment, -, Did the doctor stop cutting the tree., The doctor had been cutting the tree., Change-of-state verbs
Did the NP1 Pre Ving ?, The NP1 had not been Ving period, contradiction, -, Did the doctor stop cutting the tree?, The doctor had not been cutting the tree, Change-of-state verbs
Did the NP1 FP Ving ?, The NP1 VP1 period, entailment, -, Did the doctor regret cutting the tree?, The doctor cut the tree., Change-of-state verbs
Did the NP1 FP Ving ?, The NP1 did not VP1 period, contradiction, -, Did the doctor regret cutting the tree?, The doctor did not cut the tree, Change-of-state verbs
