	sentence1	sentence2	label	heuristics	example1	example2	split
800	The manager did not give up splitting the log.	 The manager had been splitting the log.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
801	The stranger did not cease putting the book on the shelf.	 The stranger had been putting the book on the shelf.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
802	The manager did not quit letting the blinds down.	 The manager had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
803	The boy did not finish upsetting the boat.	 The boy had been upsetting the boat.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
804	The athlete did not cease spreading the rumor.	 The athlete had been spreading the rumor.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
805	The singer did not cease spreading the rumor.	 The singer had been spreading the rumor.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
806	The athlete did not quit letting the blinds down.	 The athlete had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
807	The director did not keep reading the letter.	 The director had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
808	The dancer did not keep slitting the envelope.	 The dancer had been slitting the envelope.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
809	The director did not cease spreading the rumor.	 The director had been spreading the rumor.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
810	The woman did not finish casting bronze into a statue.	 The woman had been casting bronze into a statue.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
811	The girl did not keep setting the dish on the table.	 The girl had been setting the dish on the table.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
812	The woman did not give up slitting the envelope.	 The woman had been slitting the envelope.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
813	The child did not continue upsetting the boat.	 The child had been upsetting the boat.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
814	The woman did not quit splitting the log.	 The woman had been splitting the log.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
815	The worker did not give up thrusting the fork into the cake.	 The worker had been thrusting the fork into the cake.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	test
816	The director did not keep letting the blinds down.	 The director had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
817	The assistant did not stop bursting into the room.	 The assistant had been bursting into the room.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
818	The singer did not finish hurting others.	 The singer had been hurting others.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
819	The woman did not quit shedding tears.	 The woman had been shedding tears.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
820	The stranger did not keep upsetting the boat.	 The stranger had been upsetting the boat.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
821	The doctor did not give up spreading the rumor.	 The doctor had been spreading the rumor.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
822	The boy did not finish upsetting the boat.	 The boy had been upsetting the boat.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
823	The singer did not give up hitting the ball with the bat.	 The singer had been hitting the ball with the bat.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
824	The worker did not give up bursting into the room.	 The worker had been bursting into the room.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
825	The boy did not keep letting the blinds down.	 The boy had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
826	The director did not continue slitting the envelope.	 The director had been slitting the envelope.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	test
827	The doctor did not give up reading the letter.	 The doctor had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
828	The manager did not give up bursting into the room.	 The manager had been bursting into the room.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
829	The boy did not continue letting the blinds down.	 The boy had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
830	The manager did not finish reading the letter.	 The manager had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
831	The man did not stop putting the book on the shelf.	 The man had been putting the book on the shelf.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
832	The assistant did not keep shedding tears.	 The assistant had been shedding tears.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
833	The athlete did not give up thrusting the fork into the cake.	 The athlete had been thrusting the fork into the cake.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
834	The dancer did not finish casting bronze into a statue.	 The dancer had been casting bronze into a statue.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
835	The dancer did not quit reading the letter.	 The dancer had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
836	The student did not give up shutting the door.	 The student had been shutting the door.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	test
837	The assistant did not give up bursting into the room.	 The assistant had been bursting into the room.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
838	The girl did not finish setting the dish on the table.	 The girl had been setting the dish on the table.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
839	The woman did not continue betting $100 on the race.	 The woman had been betting $100 on the race.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
840	The woman did not stop letting the blinds down.	 The woman had been letting the blinds down.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
841	The teacher did not keep reading the letter.	 The teacher had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	test
842	The teacher did not give up bursting into the room.	 The teacher had been bursting into the room.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
843	The singer did not give up reading the letter.	 The singer had been reading the letter.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
844	The singer did not continue spreading the rumor.	 The singer had been spreading the rumor.	entailment	 -	 The doctor did not stop cutting the tree.	 The doctor had been cutting the tree.	train
