	sentence1	sentence2	label	heuristics	example1	example2	split
200	The boy read the letter quietly.	 The boy read the letter.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
201	The assistant hurt others quickly.	 The assistant hurt others.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
202	The child hurt others anxiously.	 The child hurt others.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
203	The athlete let the blinds down happily.	 The athlete let the blinds down.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
204	The athlete upset the boat calmly.	 The athlete upset the boat.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
205	The professor cast bronze into a statue sadly.	 The professor cast bronze into a statue.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
206	The worker let the blinds down slowly.	 The worker let the blinds down.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
207	The kid set the dish on the table quietly.	 The kid set the dish on the table.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
208	The child read the letter slowly.	 The child read the letter.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
209	The manager hit the ball with the bat happily.	 The manager hit the ball with the bat.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
210	The doctor read the letter anxiously.	 The doctor read the letter.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
211	The child put the book on the shelf happily.	 The child put the book on the shelf.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
212	The girl set the dish on the table quietly.	 The girl set the dish on the table.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
213	The boy bet $100 on the race quickly.	 The boy bet $100 on the race.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
214	The student shut the door easily.	 The student shut the door.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
215	The child slit the envelope sadly.	 The child slit the envelope.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
216	The child thrust the fork into the cake calmly.	 The child thrust the fork into the cake.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
217	The teacher hurt others slowly.	 The teacher hurt others.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
218	The teacher set the dish on the table quickly.	 The teacher set the dish on the table.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
219	The girl put the book on the shelf anxiously.	 The girl put the book on the shelf.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
220	The dancer thrust the fork into the cake calmly.	 The dancer thrust the fork into the cake.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
221	The man hurt others sadly.	 The man hurt others.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
222	The man set the dish on the table calmly.	 The man set the dish on the table.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
223	The singer shut the door calmly.	 The singer shut the door.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
224	The manager set the dish on the table slowly.	 The manager set the dish on the table.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
225	The professor hit the ball with the bat quietly.	 The professor hit the ball with the bat.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
226	The doctor burst into the room slowly.	 The doctor burst into the room.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
227	The manager hurt others calmly.	 The manager hurt others.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
228	The singer slit the envelope happily.	 The singer slit the envelope.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
229	The director hit the ball with the bat sadly.	 The director hit the ball with the bat.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
230	The worker slit the envelope calmly.	 The worker slit the envelope.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
231	The girl let the blinds down sadly.	 The girl let the blinds down.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
232	The woman bet $100 on the race quietly.	 The woman bet $100 on the race.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
233	The doctor burst into the room sadly.	 The doctor burst into the room.	entailment	 -	 The doctor cut the tree slowly.	 The doctor cut the tree.	train
