	sentence1	sentence2	label	heuristics	example1	example2	split
200	Did the boy set the dish on the table calmly?	 The boy set the dish on the table.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
201	Did the student upset the boat anxiously?	 The student upset the boat.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
202	Did the teacher shed tears quickly?	 The teacher shed tears.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
203	Did the stranger set the dish on the table slowly?	 The stranger set the dish on the table.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
204	Did the stranger upset the boat slowly?	 The stranger upset the boat.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
205	Did the athlete shut the door slowly?	 The athlete shut the door.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
206	Did the athlete read the letter happily?	 The athlete read the letter.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
207	Did the student slit the envelope anxiously?	 The student slit the envelope.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
208	Did the kid put the book on the shelf slowly?	 The kid put the book on the shelf.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
209	Did the manager bet $100 on the race easily?	 The manager bet $100 on the race.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
210	Did the boy set the dish on the table sadly?	 The boy set the dish on the table.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
211	Did the assistant slit the envelope quickly?	 The assistant slit the envelope.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
212	Did the manager slit the envelope calmly?	 The manager slit the envelope.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
213	Did the director bet $100 on the race angrily?	 The director bet $100 on the race.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
214	Did the kid shed tears slowly?	 The kid shed tears.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
215	Did the kid read the letter sadly?	 The kid read the letter.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
216	Did the athlete spread the rumor quickly?	 The athlete spread the rumor.	entailment	 -	 Did the doctor cut the tree slowly?	 The doctor cut the tree.	train
