	sentence1	sentence2	label	heuristics	example1	example2	split
400	The professor did not hit the ball with the bat after hurting others.	 The professor hurt others.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
401	The doctor did not set the dish on the table while casting bronze into a statue.	 The doctor cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
402	The stranger did not set the dish on the table before casting bronze into a statue.	 The stranger cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
403	The dancer did not let the blinds down while upsetting the boat.	 The dancer upset the boat.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
404	The teacher did not thrust the fork into the cake after shutting the door.	 The teacher shut the door.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
405	The teacher did not upset the boat while spreading the rumor.	 The teacher spread the rumor.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
406	The man did not thrust the fork into the cake when casting bronze into a statue.	 The man cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
407	The worker did not split the log after reading the letter.	 The worker read the letter.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
408	The woman did not put the book on the shelf before shedding tears.	 The woman shed tears.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
409	The stranger did not bet $100 on the race while shutting the door.	 The stranger shut the door.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
410	The singer did not thrust the fork into the cake when hurting others.	 The singer hurt others.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
411	The man did not cast bronze into a statue after reading the letter.	 The man read the letter.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
412	The athlete did not burst into the room before hitting the ball with the bat.	 The athlete hit the ball with the bat.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
413	The child did not shut the door while hitting the ball with the bat.	 The child hit the ball with the bat.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
414	The boy did not put the book on the shelf while casting bronze into a statue.	 The boy cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
415	The assistant did not set the dish on the table before shedding tears.	 The assistant shed tears.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
416	The girl did not hit the ball with the bat while splitting the log.	 The girl split the log.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
417	The worker did not spread the rumor while shedding tears.	 The worker shed tears.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
418	The stranger did not hurt others before setting the dish on the table.	 The stranger set the dish on the table.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
419	The doctor did not put the book on the shelf after casting bronze into a statue.	 The doctor cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
420	The child did not slit the envelope when casting bronze into a statue.	 The child cast bronze into a statue.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
421	The woman did not read the letter while shedding tears.	 The woman shed tears.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
422	The director did not hurt others when letting the blinds down.	 The director let the blinds down.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
423	The teacher did not shut the door before betting $100 on the race.	 The teacher bet $100 on the race.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
424	The man did not cast bronze into a statue when hurting others.	 The man hurt others.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
425	The student did not cast bronze into a statue while bursting into the room.	 The student burst into the room.	entailment	 -	 The doctor did not burst into the room beofore cutting the tree.	 The doctor cut the tree.	train
