	sentence1	sentence2	label	heuristics	example1	example2	split
200	The dancer did not spread the rumor sadly.	 The dancer spread the rumor.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
201	The kid did not bet $100 on the race quickly.	 The kid bet $100 on the race.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
202	The singer did not read the letter quietly.	 The singer read the letter.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
203	The woman did not put the book on the shelf happily.	 The woman put the book on the shelf.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
204	The professor did not set the dish on the table quietly.	 The professor set the dish on the table.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
205	The student did not spread the rumor happily.	 The student spread the rumor.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	test
206	The athlete did not slit the envelope calmly.	 The athlete slit the envelope.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
207	The boy did not let the blinds down sadly.	 The boy let the blinds down.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
208	The athlete did not slit the envelope easily.	 The athlete slit the envelope.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
209	The child did not thrust the fork into the cake easily.	 The child thrust the fork into the cake.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
210	The manager did not put the book on the shelf sadly.	 The manager put the book on the shelf.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
211	The director did not spread the rumor calmly.	 The director spread the rumor.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
212	The girl did not shed tears quietly.	 The girl shed tears.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
213	The professor did not cast bronze into a statue angrily.	 The professor cast bronze into a statue.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
214	The professor did not hurt others anxiously.	 The professor hurt others.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
215	The dancer did not burst into the room slowly.	 The dancer burst into the room.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
216	The manager did not split the log quietly.	 The manager split the log.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
217	The teacher did not cast bronze into a statue slowly.	 The teacher cast bronze into a statue.	entailment	 -	 The doctor did not cut the tree slowly.	 The doctor cut the tree.	train
