	sentence1	sentence2	label	heuristics	example1	example2	split
1200	If Jack had found the athlete, who hurt others, the professor would have put the book on the shelf.	 The athlete hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1201	If Jenny had beaten the stranger, who put the book on the shelf, the athlete could have split the log.	 The stranger put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1202	If Jenny had kicked the worker, who spread the rumor, the man would have bet $100 on the race.	 The worker spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1203	If Jim had respected the director, who upset the boat, the professor could have thrust the fork into the cake.	 The director upset the boat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1204	If Steven had avoided the athlete, who slit the envelope, the kid could have shut the door.	 The athlete slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1205	If Kyle had loved the kid, who bet $100 on the race, the man would have slit the envelope.	 The kid bet $100 on the race.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1206	If Katy had kicked the director, who read the letter, the kid could have upset the boat.	 The director read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1207	If Jack had loved the dancer, who put the book on the shelf, the stranger would have hurt others.	 The dancer put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1208	If Mary had met the professor, who bet $100 on the race, the worker could have let the blinds down.	 The professor bet $100 on the race.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1209	If Kyle had met the teacher, who cast bronze into a statue, the child would have read the letter.	 The teacher cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1210	If John had met the kid, who thrust the fork into the cake, the professor could have read the letter.	 The kid thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1211	If Jason had loved the man, who slit the envelope, the professor could have split the log.	 The man slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1212	If Jim had seen the teacher, who spread the rumor, the assistant could have set the dish on the table.	 The teacher spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1213	If Mary had avoided the man, who shed tears, the professor would have spread the rumor.	 The man shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1214	If Kyle had met the worker, who spread the rumor, the boy would have hit the ball with the bat.	 The worker spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1215	If Ben had chased the woman, who spread the rumor, the athlete would have thrust the fork into the cake.	 The woman spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1216	If Tom had chased the stranger, who thrust the fork into the cake, the woman would have shut the door.	 The stranger thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1217	If John had comforted the doctor, who let the blinds down, the man would have set the dish on the table.	 The doctor let the blinds down.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1218	If Kyle had beaten the singer, who spread the rumor, the child would have hurt others.	 The singer spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1219	If Mary had avoided the kid, who slit the envelope, the athlete could have cast bronze into a statue.	 The kid slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1220	If Steven had decieved the manager, who split the log, the assistant would have put the book on the shelf.	 The manager split the log.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1221	If Jason had found the teacher, who read the letter, the girl could have hit the ball with the bat.	 The teacher read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1222	If Jack had chased the girl, who hurt others, the kid would have slit the envelope.	 The girl hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1223	If Katy had chased the teacher, who bet $100 on the race, the kid would have set the dish on the table.	 The teacher bet $100 on the race.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1224	If Jim had respected the director, who spread the rumor, the boy could have hurt others.	 The director spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1225	If John had chased the stranger, who spread the rumor, the athlete would have hit the ball with the bat.	 The stranger spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1226	If Katy had kicked the child, who thrust the fork into the cake, the teacher could have hurt others.	 The child thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1227	If Tom had met the athlete, who hurt others, the singer could have upset the boat.	 The athlete hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1228	If Jim had seen the worker, who hit the ball with the bat, the director could have read the letter.	 The worker hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1229	If Steven had avoided the singer, who shut the door, the kid would have bet $100 on the race.	 The singer shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1230	If Jason had respected the athlete, who put the book on the shelf, the manager could have bet $100 on the race.	 The athlete put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1231	If John had chased the woman, who shut the door, the doctor would have upset the boat.	 The woman shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1232	If Jenny had found the doctor, who slit the envelope, the director could have upset the boat.	 The doctor slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1233	If Ben had respected the singer, who cast bronze into a statue, the kid could have hurt others.	 The singer cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1234	If Jason had avoided the athlete, who hurt others, the girl could have upset the boat.	 The athlete hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1235	If Kyle had beaten the boy, who shut the door, the child would have bet $100 on the race.	 The boy shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1236	If Katy had beaten the singer, who thrust the fork into the cake, the child would have slit the envelope.	 The singer thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1237	If Kyle had avoided the doctor, who shed tears, the director would have burst into the room.	 The doctor shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1238	If Steven had seen the child, who thrust the fork into the cake, the boy would have shut the door.	 The child thrust the fork into the cake.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1239	If Jason had avoided the director, who let the blinds down, the child would have split the log.	 The director let the blinds down.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1240	If John had respected the man, who upset the boat, the girl could have set the dish on the table.	 The man upset the boat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1241	If Jack had loved the boy, who hit the ball with the bat, the woman could have let the blinds down.	 The boy hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	test
1242	If Jack had decieved the girl, who spread the rumor, the professor would have read the letter.	 The girl spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1243	If Mary had kicked the dancer, who shut the door, the professor could have put the book on the shelf.	 The dancer shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1244	If Tom had seen the teacher, who shut the door, the dancer could have hurt others.	 The teacher shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1245	If Katy had avoided the director, who spread the rumor, the assistant could have let the blinds down.	 The director spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1246	If Mary had seen the dancer, who cast bronze into a statue, the woman could have burst into the room.	 The dancer cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1247	If Jim had avoided the director, who hurt others, the doctor would have hit the ball with the bat.	 The director hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1248	If Katy had decieved the boy, who spread the rumor, the doctor could have thrust the fork into the cake.	 The boy spread the rumor.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1249	If Jack had avoided the kid, who put the book on the shelf, the worker could have shut the door.	 The kid put the book on the shelf.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1250	If Jason had loved the child, who upset the boat, the doctor could have put the book on the shelf.	 The child upset the boat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1251	If Katy had avoided the director, who slit the envelope, the man would have put the book on the shelf.	 The director slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1252	If Jenny had respected the woman, who let the blinds down, the girl would have cast bronze into a statue.	 The woman let the blinds down.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1253	If Ben had met the athlete, who slit the envelope, the child would have let the blinds down.	 The athlete slit the envelope.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1254	If Jack had comforted the manager, who hit the ball with the bat, the woman could have split the log.	 The manager hit the ball with the bat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1255	If Bob had respected the stranger, who shed tears, the dancer would have thrust the fork into the cake.	 The stranger shed tears.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1256	If Tom had found the dancer, who read the letter, the manager would have spread the rumor.	 The dancer read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1257	If Kyle had comforted the doctor, who burst into the room, the athlete could have shut the door.	 The doctor burst into the room.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1258	If Katy had decieved the boy, who burst into the room, the singer could have split the log.	 The boy burst into the room.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1259	If Ben had met the doctor, who set the dish on the table, the girl would have read the letter.	 The doctor set the dish on the table.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1260	If Katy had avoided the girl, who cast bronze into a statue, the child could have hurt others.	 The girl cast bronze into a statue.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1261	If Katy had found the athlete, who shut the door, the director could have shed tears.	 The athlete shut the door.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1262	If Ben had found the assistant, who hurt others, the athlete would have read the letter.	 The assistant hurt others.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1263	If Steven had met the teacher, who upset the boat, the dancer could have shut the door.	 The teacher upset the boat.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1264	If Bob had decieved the worker, who set the dish on the table, the woman could have shut the door.	 The worker set the dish on the table.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
1265	If Kyle had comforted the teacher, who read the letter, the man could have spread the rumor.	 The teacher read the letter.	entailment	 -	 The doctor comma who cut the tree comma burst into the room.	 The doctor cut the tree.	train
