	sentence1	sentence2	label	heuristics	example1	example2	split
1000	The singer regretted slitting the envelope.	 The singer slit the envelope.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1001	The woman forgot hitting the ball with the bat.	 The woman hit the ball with the bat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1002	The doctor remembered shutting the door.	 The doctor shut the door.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1003	The kid forgot betting $100 on the race.	 The kid bet $100 on the race.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1004	The athlete forgot upsetting the boat.	 The athlete upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1005	The dancer regretted letting the blinds down.	 The dancer let the blinds down.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1006	The stranger forgot hurting others.	 The stranger hurt others.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1007	The girl forgot reading the letter.	 The girl read the letter.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1008	The athlete regretted upsetting the boat.	 The athlete upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1009	The boy remembered casting bronze into a statue.	 The boy cast bronze into a statue.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1010	The student forgot shedding tears.	 The student shed tears.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1011	The boy regretted splitting the log.	 The boy split the log.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1012	The girl regretted bursting into the room.	 The girl burst into the room.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1013	The singer remembered upsetting the boat.	 The singer upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1014	The stranger remembered reading the letter.	 The stranger read the letter.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1015	The worker regretted reading the letter.	 The worker read the letter.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1016	The kid remembered betting $100 on the race.	 The kid bet $100 on the race.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1017	The teacher remembered shedding tears.	 The teacher shed tears.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1018	The dancer forgot letting the blinds down.	 The dancer let the blinds down.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1019	The boy forgot reading the letter.	 The boy read the letter.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1020	The worker forgot hurting others.	 The worker hurt others.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1021	The boy regretted setting the dish on the table.	 The boy set the dish on the table.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1022	The professor remembered slitting the envelope.	 The professor slit the envelope.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1023	The woman remembered shedding tears.	 The woman shed tears.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1024	The singer forgot upsetting the boat.	 The singer upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1025	The man regretted hitting the ball with the bat.	 The man hit the ball with the bat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1026	The teacher regretted thrusting the fork into the cake.	 The teacher thrust the fork into the cake.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1027	The stranger regretted betting $100 on the race.	 The stranger bet $100 on the race.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1028	The worker forgot bursting into the room.	 The worker burst into the room.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1029	The girl regretted casting bronze into a statue.	 The girl cast bronze into a statue.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1030	The child remembered splitting the log.	 The child split the log.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1031	The kid forgot casting bronze into a statue.	 The kid cast bronze into a statue.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1032	The doctor forgot bursting into the room.	 The doctor burst into the room.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1033	The kid forgot putting the book on the shelf.	 The kid put the book on the shelf.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1034	The director remembered spreading the rumor.	 The director spread the rumor.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1035	The assistant regretted setting the dish on the table.	 The assistant set the dish on the table.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1036	The girl regretted splitting the log.	 The girl split the log.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1037	The stranger forgot shutting the door.	 The stranger shut the door.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1038	The manager remembered upsetting the boat.	 The manager upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	test
1039	The student remembered upsetting the boat.	 The student upset the boat.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1040	The teacher regretted splitting the log.	 The teacher split the log.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1041	The professor forgot slitting the envelope.	 The professor slit the envelope.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
1042	The teacher forgot splitting the log.	 The teacher split the log.	entailment	 -	 The doctor regretted cutting the tree.	 The doctor cut the tree.	train
