	sentence1	sentence2	label	heuristics	example1	example2	split
600	If the doctor had let the blinds down earlier than the student, the stranger could have shut the door.	 The doctor let the blinds down.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
601	If the man had shut the door better than the manager, the doctor would have let the blinds down.	 The man shut the door.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
602	If the assistant had hit the ball with the bat worse than the manager, the man could have hurt others.	 The assistant hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
603	If the teacher had read the letter worse than the student, the stranger would have hurt others.	 The teacher read the letter.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
604	If the athlete had spread the rumor more seriously than the child, the student could have cast bronze into a statue.	 The athlete spread the rumor.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
605	If the man had spread the rumor better than the student, the stranger would have set the dish on the table.	 The man spread the rumor.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
606	If the manager had hit the ball with the bat better than the man, the athlete could have let the blinds down.	 The manager hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
607	If the boy had hurt others earlier than the dancer, the woman would have spread the rumor.	 The boy hurt others.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
608	If the assistant had shut the door worse than the girl, the doctor could have let the blinds down.	 The assistant shut the door.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
609	If the athlete had hurt others earlier than the man, the teacher would have spread the rumor.	 The athlete hurt others.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
610	If the child had cast bronze into a statue more seriously than the worker, the stranger could have upset the boat.	 The child cast bronze into a statue.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
611	If the teacher had slit the envelope better than the dancer, the singer would have hurt others.	 The teacher slit the envelope.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
612	If the manager had spread the rumor earlier than the doctor, the teacher would have split the log.	 The manager spread the rumor.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
613	If the man had let the blinds down better than the girl, the dancer could have spread the rumor.	 The man let the blinds down.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	test
614	If the assistant had shut the door more seriously than the boy, the kid could have read the letter.	 The assistant shut the door.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
615	If the director had hit the ball with the bat better than the child, the boy could have hurt others.	 The director hit the ball with the bat.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
616	If the man had read the letter more seriously than the dancer, the girl would have hurt others.	 The man read the letter.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
617	If the stranger had bet $100 on the race more seriously than the professor, the child could have split the log.	 The stranger bet $100 on the race.	entailment	 -	 If the doctor had cut the tree better than the artist comma the singer could have spread the rumor.	 The doctor cut the tree.	train
