	sentence1	sentence2	label	heuristics	example1	example2	split
400	Did the boy shed tears after slitting the envelope?	 The boy slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
401	Did the stranger read the letter before hitting the ball with the bat?	 The stranger hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
402	Did the assistant let the blinds down after betting $100 on the race?	 The assistant bet $100 on the race.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
403	Did the manager shed tears before hitting the ball with the bat?	 The manager hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
404	Did the assistant cast bronze into a statue before setting the dish on the table?	 The assistant set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	test
405	Did the woman hurt others while spreading the rumor?	 The woman spread the rumor.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	test
406	Did the manager let the blinds down while reading the letter?	 The manager read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
407	Did the singer upset the boat while hurting others?	 The singer hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
408	Did the kid slit the envelope when hitting the ball with the bat?	 The kid hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
409	Did the doctor hurt others after slitting the envelope?	 The doctor slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
410	Did the stranger hurt others while slitting the envelope?	 The stranger slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
411	Did the boy slit the envelope while casting bronze into a statue?	 The boy cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
412	Did the teacher put the book on the shelf while betting $100 on the race?	 The teacher bet $100 on the race.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
413	Did the stranger hurt others when casting bronze into a statue?	 The stranger cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
414	Did the professor slit the envelope when putting the book on the shelf?	 The professor put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
415	Did the child read the letter before shedding tears?	 The child shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
416	Did the director cast bronze into a statue while putting the book on the shelf?	 The director put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
417	Did the child spread the rumor after shedding tears?	 The child shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
418	Did the doctor hit the ball with the bat while shedding tears?	 The doctor shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
419	Did the assistant shed tears when shutting the door?	 The assistant shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
420	Did the director spread the rumor when setting the dish on the table?	 The director set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
421	Did the athlete burst into the room when shutting the door?	 The athlete shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
422	Did the teacher read the letter while letting the blinds down?	 The teacher let the blinds down.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
423	Did the doctor thrust the fork into the cake after reading the letter?	 The doctor read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
424	Did the athlete split the log before putting the book on the shelf?	 The athlete put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
425	Did the doctor hit the ball with the bat while shedding tears?	 The doctor shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
426	Did the dancer split the log while hitting the ball with the bat?	 The dancer hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
427	Did the student put the book on the shelf when hurting others?	 The student hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	test
428	Did the teacher split the log before bursting into the room?	 The teacher burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
429	Did the kid shed tears while betting $100 on the race?	 The kid bet $100 on the race.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
430	Did the woman shed tears while hurting others?	 The woman hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
431	Did the athlete cast bronze into a statue after letting the blinds down?	 The athlete let the blinds down.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
432	Did the singer burst into the room when putting the book on the shelf?	 The singer put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
433	Did the manager shed tears when upsetting the boat?	 The manager upset the boat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
434	Did the dancer shed tears while putting the book on the shelf?	 The dancer put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
435	Did the singer shed tears while hurting others?	 The singer hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
436	Did the assistant slit the envelope after betting $100 on the race?	 The assistant bet $100 on the race.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
437	Did the boy hurt others while shutting the door?	 The boy shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
438	Did the stranger cast bronze into a statue while thrusting the fork into the cake?	 The stranger thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
439	Did the professor bet $100 on the race before thrusting the fork into the cake?	 The professor thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
440	Did the manager spread the rumor after reading the letter?	 The manager read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
441	Did the kid split the log when hurting others?	 The kid hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
442	Did the stranger hit the ball with the bat before casting bronze into a statue?	 The stranger cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
443	Did the student put the book on the shelf before bursting into the room?	 The student burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
444	Did the worker thrust the fork into the cake before shutting the door?	 The worker shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
445	Did the child let the blinds down while bursting into the room?	 The child burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
446	Did the student cast bronze into a statue before setting the dish on the table?	 The student set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
447	Did the singer put the book on the shelf when hurting others?	 The singer hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
448	Did the singer hurt others before shutting the door?	 The singer shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	test
449	Did the dancer thrust the fork into the cake when bursting into the room?	 The dancer burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
450	Did the director shed tears before thrusting the fork into the cake?	 The director thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
451	Did the doctor bet $100 on the race after hitting the ball with the bat?	 The doctor hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
452	Did the woman put the book on the shelf before hitting the ball with the bat?	 The woman hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
453	Did the athlete hit the ball with the bat before spreading the rumor?	 The athlete spread the rumor.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
454	Did the singer slit the envelope when thrusting the fork into the cake?	 The singer thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
455	Did the woman read the letter after setting the dish on the table?	 The woman set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
456	Did the stranger shed tears while thrusting the fork into the cake?	 The stranger thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
457	Did the man let the blinds down while betting $100 on the race?	 The man bet $100 on the race.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
458	Did the woman read the letter while upsetting the boat?	 The woman upset the boat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
459	Did the manager hurt others while reading the letter?	 The manager read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
460	Did the manager shed tears before hurting others?	 The manager hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
461	Did the dancer burst into the room before casting bronze into a statue?	 The dancer cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
462	Did the teacher hit the ball with the bat before hurting others?	 The teacher hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
463	Did the teacher spread the rumor before upsetting the boat?	 The teacher upset the boat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
464	Did the athlete slit the envelope after shedding tears?	 The athlete shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
465	Did the woman split the log when slitting the envelope?	 The woman slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
466	Did the girl hurt others when casting bronze into a statue?	 The girl cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
467	Did the manager put the book on the shelf after hitting the ball with the bat?	 The manager hit the ball with the bat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
468	Did the man shed tears before casting bronze into a statue?	 The man cast bronze into a statue.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
469	Did the kid hit the ball with the bat when bursting into the room?	 The kid burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
470	Did the professor shut the door while putting the book on the shelf?	 The professor put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
471	Did the student thrust the fork into the cake while putting the book on the shelf?	 The student put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
472	Did the worker bet $100 on the race when letting the blinds down?	 The worker let the blinds down.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
473	Did the child spread the rumor while setting the dish on the table?	 The child set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
474	Did the director hit the ball with the bat before upsetting the boat?	 The director upset the boat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
475	Did the singer put the book on the shelf after shutting the door?	 The singer shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
476	Did the professor shut the door when thrusting the fork into the cake?	 The professor thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
477	Did the worker spread the rumor when slitting the envelope?	 The worker slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
478	Did the doctor split the log after bursting into the room?	 The doctor burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
479	Did the teacher put the book on the shelf when shutting the door?	 The teacher shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
480	Did the kid upset the boat after setting the dish on the table?	 The kid set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
481	Did the singer shut the door before hurting others?	 The singer hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
482	Did the child hit the ball with the bat while splitting the log?	 The child split the log.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
483	Did the teacher hit the ball with the bat before splitting the log?	 The teacher split the log.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
484	Did the stranger shut the door when reading the letter?	 The stranger read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
485	Did the man set the dish on the table before shedding tears?	 The man shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
486	Did the girl shed tears when spreading the rumor?	 The girl spread the rumor.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
487	Did the athlete thrust the fork into the cake after setting the dish on the table?	 The athlete set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
488	Did the director bet $100 on the race after hurting others?	 The director hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
489	Did the athlete slit the envelope before putting the book on the shelf?	 The athlete put the book on the shelf.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
490	Did the teacher bet $100 on the race after hurting others?	 The teacher hurt others.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
491	Did the kid spread the rumor after reading the letter?	 The kid read the letter.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
492	Did the student put the book on the shelf after shedding tears?	 The student shed tears.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
493	Did the student upset the boat when setting the dish on the table?	 The student set the dish on the table.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
494	Did the child cast bronze into a statue while slitting the envelope?	 The child slit the envelope.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
495	Did the manager read the letter before upsetting the boat?	 The manager upset the boat.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
496	Did the stranger set the dish on the table after bursting into the room?	 The stranger burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
497	Did the professor bet $100 on the race when shutting the door?	 The professor shut the door.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
498	Did the girl shed tears while thrusting the fork into the cake?	 The girl thrust the fork into the cake.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	train
499	Did the man set the dish on the table before bursting into the room?	 The man burst into the room.	entailment	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor cut the tree.	test
500	Did the kid thrust the fork into the cake while putting the book on the shelf?	 The kid did not put the book on the shelf.	contradiction	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor did not cut the tree.	train
501	Did the manager split the log before bursting into the room?	 The manager did not burst into the room.	contradiction	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor did not cut the tree.	train
502	Did the stranger spread the rumor after shedding tears?	 The stranger did not shed tears.	contradiction	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor did not cut the tree.	train
503	Did the woman split the log when upsetting the boat?	 The woman did not upset the boat.	contradiction	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor did not cut the tree.	train
504	Did the director set the dish on the table while slitting the envelope?	 The director did not slit the envelope.	contradiction	 -	 Did the doctor burst into the room beofore cutting the tree?	 The doctor did not cut the tree.	train
