	sentence1	sentence2	label	heuristics	example1	example2	split
0	Did the athlete burst into the room again?	 The athlete had burst into the room before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
1	Did the child shed tears again?	 The child had shed tears before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
2	Did the assistant hurt others again?	 The assistant had hurt others before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
3	Did the assistant shut the door again?	 The assistant had shut the door before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	test
4	Did the boy hurt others again?	 The boy had hurt others before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
5	Did the singer thrust the fork into the cake again?	 The singer had thrust the fork into the cake before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
6	Did the child hurt others again?	 The child had hurt others before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
7	Did the doctor slit the envelope again?	 The doctor had slit the envelope before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
8	Did the worker let the blinds down again?	 The worker had let the blinds down before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
9	Did the dancer let the blinds down again?	 The dancer had let the blinds down before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
10	Did the athlete burst into the room again?	 The athlete had burst into the room before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
11	Did the singer spread the rumor again?	 The singer had spread the rumor before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
12	Did the boy split the log again?	 The boy had split the log before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
13	Did the woman read the letter again?	 The woman had read the letter before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
14	Did the boy slit the envelope again?	 The boy had slit the envelope before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
15	Did the athlete upset the boat again?	 The athlete had upset the boat before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
16	Did the director set the dish on the table again?	 The director had set the dish on the table before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
17	Did the student let the blinds down again?	 The student had let the blinds down before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
18	Did the girl thrust the fork into the cake again?	 The girl had thrust the fork into the cake before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
19	Did the assistant slit the envelope again?	 The assistant had slit the envelope before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
20	Did the director upset the boat again?	 The director had upset the boat before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
21	Did the boy hit the ball with the bat again?	 The boy had hit the ball with the bat before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
22	Did the girl cast bronze into a statue again?	 The girl had cast bronze into a statue before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
23	Did the teacher read the letter again?	 The teacher had read the letter before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
24	Did the woman bet $100 on the race again?	 The woman had bet $100 on the race before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
25	Did the manager upset the boat again?	 The manager had upset the boat before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	test
26	Did the girl bet $100 on the race again?	 The girl had bet $100 on the race before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
27	Did the doctor slit the envelope again?	 The doctor had slit the envelope before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
28	Did the stranger spread the rumor again?	 The stranger had spread the rumor before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
29	Did the doctor put the book on the shelf again?	 The doctor had put the book on the shelf before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
30	Did the stranger put the book on the shelf again?	 The stranger had put the book on the shelf before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
31	Did the stranger put the book on the shelf again?	 The stranger had put the book on the shelf before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
32	Did the student set the dish on the table again?	 The student had set the dish on the table before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
33	Did the man upset the boat again?	 The man had upset the boat before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
34	Did the student split the log again?	 The student had split the log before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
35	Did the girl shed tears again?	 The girl had shed tears before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
36	Did the director spread the rumor again?	 The director had spread the rumor before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
37	Did the child spread the rumor again?	 The child had spread the rumor before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
38	Did the kid put the book on the shelf again?	 The kid had put the book on the shelf before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
39	Did the man thrust the fork into the cake again?	 The man had thrust the fork into the cake before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
40	Did the doctor shed tears again?	 The doctor had shed tears before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
41	Did the worker hurt others again?	 The worker had hurt others before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
42	Did the worker read the letter again?	 The worker had read the letter before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
43	Did the student read the letter again?	 The student had read the letter before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
44	Did the woman hurt others again?	 The woman had hurt others before.	entailment	 -	 Did the doctor cut the tree again?	 The doctor cut the tree before.	train
