	sentence1	sentence2	label	heuristics	example1	example2	split
600	The child spread the rumor better than the doctor.	 The child spread the rumor.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
601	The director set the dish on the table more seriously than the worker.	 The director set the dish on the table.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
602	The student hit the ball with the bat worse than the worker.	 The student hit the ball with the bat.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
603	The dancer thrust the fork into the cake better than the professor.	 The dancer thrust the fork into the cake.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
604	The director thrust the fork into the cake better than the man.	 The director thrust the fork into the cake.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
605	The director slit the envelope worse than the woman.	 The director slit the envelope.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
606	The woman burst into the room better than the dancer.	 The woman burst into the room.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
607	The child bet $100 on the race better than the doctor.	 The child bet $100 on the race.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
608	The girl read the letter worse than the manager.	 The girl read the letter.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
609	The director set the dish on the table worse than the athlete.	 The director set the dish on the table.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
610	The boy let the blinds down more seriously than the doctor.	 The boy let the blinds down.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
611	The man cast bronze into a statue better than the assistant.	 The man cast bronze into a statue.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
612	The stranger shed tears more seriously than the kid.	 The stranger shed tears.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
613	The singer set the dish on the table earlier than the professor.	 The singer set the dish on the table.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
614	The professor burst into the room more seriously than the stranger.	 The professor burst into the room.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
615	The assistant shed tears better than the professor.	 The assistant shed tears.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
616	The singer shed tears better than the girl.	 The singer shed tears.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
617	The boy bet $100 on the race more seriously than the kid.	 The boy bet $100 on the race.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
618	The stranger let the blinds down more seriously than the man.	 The stranger let the blinds down.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
619	The girl upset the boat better than the student.	 The girl upset the boat.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
620	The professor shut the door earlier than the stranger.	 The professor shut the door.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
621	The manager set the dish on the table earlier than the singer.	 The manager set the dish on the table.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
622	The girl split the log worse than the director.	 The girl split the log.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
623	The man shut the door earlier than the worker.	 The man shut the door.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
624	The worker cast bronze into a statue better than the professor.	 The worker cast bronze into a statue.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	test
625	The athlete let the blinds down worse than the worker.	 The athlete let the blinds down.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
626	The singer upset the boat more seriously than the manager.	 The singer upset the boat.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
627	The man let the blinds down more seriously than the dancer.	 The man let the blinds down.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
628	The singer bet $100 on the race better than the girl.	 The singer bet $100 on the race.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
629	The man burst into the room better than the woman.	 The man burst into the room.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
630	The man shed tears more seriously than the professor.	 The man shed tears.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
631	The boy cast bronze into a statue better than the teacher.	 The boy cast bronze into a statue.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
632	The stranger bet $100 on the race worse than the director.	 The stranger bet $100 on the race.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	test
633	The athlete burst into the room better than the dancer.	 The athlete burst into the room.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	train
634	The girl hurt others earlier than the woman.	 The girl hurt others.	entailment	 -	 The doctor cut the tree better than the singer.	 The doctor cut the tree.	test
